risk_aversion,age,phase,cec_solved,cec_if_reset_to_average,cost_of_resetting_bp,dom_eq,intl_eq,bond,bill
5.0,91,retired,1.1202964390632972,1.1202968128922295,-0.0033368740137706965,0.0,1.0,0.0,0.0
5.0,92,retired,1.1202964390632972,1.12029651728464,-0.0006982199940441802,0.0,1.0,0.0,0.0
10.0,25,working,0.8010083036972101,0.8009964389402584,0.1481249650425731,0.0,1.0,0.0,0.0
10.0,26,working,0.8010083036972101,0.8009540660193649,0.677163399827041,0.0,1.0,0.0,0.0
10.0,27,working,0.8010083036972101,0.8009300117762462,0.9775126392153055,0.5999999999999999,0.39999999999999997,0.0,0.0
10.0,28,working,0.8010083036972101,0.8009461947090502,0.775445199319158,0.4,0.6000000000000001,0.0,0.0
10.0,29,working,0.8010083036972101,0.8009478123283558,0.755247319779162,0.0,1.0,0.0,0.0
10.0,30,working,0.8010083036972101,0.8008796133843502,1.6068621389431215,0.0,1.0,0.0,0.0
10.0,31,working,0.8010083036972101,0.8009571648699964,0.6384714371332478,0.2,0.8,0.0,0.0
10.0,32,working,0.8010083036972101,0.8009885522736203,0.2465880883528726,0.2,0.8,0.0,0.0
10.0,33,working,0.8010083036972101,0.8009192335016381,1.112099595643734,0.3,0.7,0.0,0.0
10.0,34,working,0.8010083036972101,0.800957451177556,0.6348966425040459,0.10000000000000002,0.9000000000000001,0.0,0.0
10.0,35,working,0.8010083036972101,0.8009195951546649,1.1075836211493773,0.3,0.7,0.0,0.0
10.0,36,working,0.8010083036972101,0.8008526958750966,1.9430267627873476,0.0,1.0,0.0,0.0
10.0,37,working,0.8010083036972101,0.8008780178205768,1.6267880218245878,0.0,1.0,0.0,0.0
10.0,38,working,0.8010083036972101,0.8008134396291018,2.433326645947531,0.0,1.0,0.0,0.0
10.0,39,working,0.8010083036972101,0.8008817994341945,1.579562216360575,0.0,1.0,0.0,0.0
10.0,40,working,0.8010083036972101,0.8009062939712347,1.2736786655720422,0.0,1.0,0.0,0.0
10.0,41,working,0.8010083036972101,0.8009840525172475,0.3027673258459984,0.15000000000000002,0.8500000000000001,0.0,0.0
10.0,42,working,0.8010083036972101,0.80093662638366,0.894918663836286,0.1,0.8999999999999999,0.0,0.0
10.0,43,working,0.8010083036972101,0.8009125279429938,1.195832889044901,0.0,1.0,0.0,0.0
10.0,44,working,0.8010083036972101,0.8008962447292443,1.3991696015969168,0.05,0.95,0.0,0.0
10.0,45,working,0.8010083036972101,0.8009657291154221,0.5315406170369741,0.15000000000000002,0.8500000000000001,0.0,0.0
10.0,46,working,0.8010083036972101,0.8009899274368366,0.22941936900888749,0.1,0.8499999999999999,0.05,0.0
10.0,47,working,0.8010083036972101,0.8008909966572852,1.4647066881079418,0.05,0.95,0.0,0.0
10.0,48,working,0.8010083036972101,0.8008987025710391,1.3684767601596093,0.25,0.75,0.0,0.0
10.0,49,working,0.8010083036972101,0.8009260748008903,1.0266727343122284,0.1,0.8999999999999999,0.0,0.0
10.0,50,working,0.8010083036972101,0.8007274538534682,3.507433676592786,0.0,1.0,0.0,0.0
10.0,51,working,0.8010083036972101,0.8008778650087454,1.6286963863509918,0.05,0.95,0.0,0.0
10.0,52,working,0.8010083036972101,0.8009616667296481,0.5822621668327699,0.1,0.8999999999999999,0.0,0.0
10.0,53,working,0.8010083036972101,0.8006643706401282,4.295595878793801,0.25,0.55,0.2,0.0
10.0,54,working,0.8010083036972101,0.8008458922985849,2.027998147795529,0.05,0.95,0.0,0.0
10.0,55,working,0.8010083036972101,0.8009149017436522,1.1661907320559273,0.1,0.8999999999999999,0.0,0.0
10.0,56,working,0.8010083036972101,0.8008498169010869,1.978982735320045,0.2,0.8,0.0,0.0
10.0,57,working,0.8010083036972101,0.8009431390635791,0.8135987494339858,0.1,0.8999999999999999,0.0,0.0
10.0,58,working,0.8010083036972101,0.8008605971318863,1.844348015782593,0.3,0.7,0.0,0.0
10.0,59,working,0.8010083036972101,0.8008747181052482,1.6679961165189106,0.05,0.95,0.0,0.0
10.0,60,working,0.8010083036972101,0.8007419503338278,3.3263320757859205,0.35,0.6499999999999999,0.0,0.0
10.0,61,working,0.8010083036972101,0.8009590160866584,0.615357459767818,0.05,0.8999999999999999,0.0,0.05
10.0,62,working,0.8010083036972101,0.8006402210720192,4.5973536615240285,0.25,0.55,0.2,0.0
10.0,63,retired,0.8010083036972101,0.7986324589674331,29.74891269569513,0.15000000000000002,0.5999999999999999,0.0,0.25
10.0,64,retired,0.8010083036972101,0.7999854192302818,12.78628887902089,0.25,0.7,0.0,0.05
10.0,65,retired,0.8010083036972101,0.8001693914843474,10.484182746686166,0.2,0.7,0.0,0.1
10.0,66,retired,0.8010083036972101,0.8008342411181081,2.173515693573158,0.05,0.8999999999999999,0.0,0.05
10.0,67,retired,0.8010083036972101,0.8008200992424136,2.350146493257377,0.15000000000000002,0.8500000000000001,0.0,0.0
10.0,68,retired,0.8010083036972101,0.8002255749365578,9.781351473481248,0.05,0.95,0.0,0.0
10.0,69,retired,0.8010083036972101,0.8005711680215132,5.460297512052126,0.15000000000000002,0.8499999999999999,0.0,0.0
10.0,70,retired,0.8010083036972101,0.8006703826516597,4.220476401677331,0.2,0.8,0.0,0.0
10.0,71,retired,0.8010083036972101,0.8005559584967173,5.650388279441199,0.2,0.75,0.0,0.05
10.0,72,retired,0.8010083036972101,0.8005844082766632,5.294824832515754,0.2,0.75,0.0,0.05
10.0,73,retired,0.8010083036972101,0.8009391843765253,0.8629783887847964,0.05,0.8999999999999999,0.0,0.05
10.0,74,retired,0.8010083036972101,0.800895792463633,1.4048173886771487,0.15000000000000002,0.8499999999999999,0.0,0.0
10.0,75,retired,0.8010083036972101,0.8007037181784212,3.8039728288241648,0.10000000000000002,0.9000000000000001,0.0,0.0
10.0,76,retired,0.8010083036972101,0.8005473997102789,5.75736036489527,0.25,0.7,0.05,0.0
10.0,77,retired,0.8010083036972101,0.800894671022836,1.4188217063426656,0.10000000000000002,0.8,0.1,0.0
10.0,78,retired,0.8010083036972101,0.8009942283170991,0.1757238643351755,0.15000000000000002,0.75,0.1,0.0
10.0,79,retired,0.8010083036972101,0.8003164739878397,8.64445168700767,0.0,1.0,0.0,0.0
10.0,80,retired,0.8010083036972101,0.8008429789580035,2.06438394979358,0.05,0.8999999999999999,0.05,0.0
10.0,81,retired,0.8010083036972101,0.8008530402496054,1.9387258311009958,0.05,0.95,0.0,0.0
10.0,82,retired,0.8010083036972101,0.8008900271657637,1.4768136377596441,0.0,0.95,0.05,0.0
10.0,83,retired,0.8010083036972101,0.8009295091765629,0.9837884575913947,0.25,0.75,0.0,0.0
10.0,84,retired,0.8010083036972101,0.8008334307999265,2.1836363288296745,0.35,0.6499999999999999,0.0,0.0
10.0,85,retired,0.8010083036972101,0.8009827498146355,0.31903162184931944,0.2,0.8,0.0,0.0
10.0,86,retired,0.8010083036972101,0.8009817719839754,0.33123991285188836,0.0,0.95,0.05,0.0
10.0,87,retired,0.8010083036972101,0.8009721652677876,0.45118208833683227,0.0,1.0,0.0,0.0
10.0,88,retired,0.8010083036972101,0.800938889376016,0.8666618903752088,0.0,0.8500000000000001,0.05,0.10000000000000002
10.0,89,retired,0.8010083036972101,0.8009845280573658,0.29683020097870383,0.35,0.6499999999999999,0.0,0.0
10.0,90,retired,0.8010083036972101,0.8010047663641783,0.04416119828931642,0.0,0.8500000000000001,0.15000000000000002,0.0
10.0,91,retired,0.8010083036972101,0.8010084679283795,-0.0020503050346398766,0.0,0.5,0.0,0.5
10.0,92,retired,0.8010083036972101,0.8010083130413364,-0.00011665454824338894,0.25,0.25,0.25,0.25
