equity,domestic,rule,rule_label,rate,has_rate,label,cec_fixed,cec_mortality,ruin_fixed,ruin_mortality,mean_consumption
1.0,0.1,constant_real,constant_real,0.035,True,"constant_real @ 3.5%, 100% equity / 10% domestic",1.0927923652743199,1.1115212838440613,0.049,0.02307769412752529,1.5578918688916683
1.0,0.1,constant_real,constant_real,0.045,True,"constant_real @ 4.5%, 100% equity / 10% domestic",1.12039648577708,1.1698077681830752,0.135,0.06741276180638307,1.6839626622558943
1.0,0.1,constant_percent,constant_percent,0.035,True,"constant_percent @ 3.5%, 100% equity / 10% domestic",1.19938331856965,1.1927653884527807,0.0,0.0,1.997612243344176
1.0,0.1,constant_percent,constant_percent,0.045,True,"constant_percent @ 4.5%, 100% equity / 10% domestic",1.2692458916936264,1.2722560469302195,0.0,0.0,2.0702408630928377
1.0,0.1,guyton_klinger,guyton_klinger,0.035,True,"guyton_klinger @ 3.5%, 100% equity / 10% domestic",1.1369165005568531,1.1330738451813258,0.0,0.0,1.826485536437694
1.0,0.1,guyton_klinger,guyton_klinger,0.045,True,"guyton_klinger @ 4.5%, 100% equity / 10% domestic",1.2156925076899698,1.2187821796583225,0.0,0.0,1.9412855456929794
1.0,0.1,guyton_klinger,guyton_klinger (tight band),0.035,True,"guyton_klinger (tight band) @ 3.5%, 100% equity / 10% domestic",1.1555083123527519,1.1503645382163759,0.0,0.0,1.8744402577207242
1.0,0.1,guyton_klinger,guyton_klinger (tight band),0.045,True,"guyton_klinger (tight band) @ 4.5%, 100% equity / 10% domestic",1.2319378846645628,1.2339930327055701,0.001,0.0002628321725948511,1.9883557331578179
1.0,0.1,guyton_klinger,guyton_klinger (no inflation rule),0.035,True,"guyton_klinger (no inflation rule) @ 3.5%, 100% equity / 10% domestic",1.1868336750249862,1.179093498719439,0.0125,0.006040362606580481,1.8950882714316721
1.0,0.1,guyton_klinger,guyton_klinger (no inflation rule),0.045,True,"guyton_klinger (no inflation rule) @ 4.5%, 100% equity / 10% domestic",1.2612736678003493,1.2660370070040639,0.029,0.01219332573218355,2.0113756151424886
1.0,0.1,vanguard_dynamic,vanguard_dynamic,0.035,True,"vanguard_dynamic @ 3.5%, 100% equity / 10% domestic",1.182700331665443,1.183773713444812,0.021,0.011562754597327007,1.7817006676586205
1.0,0.1,vanguard_dynamic,vanguard_dynamic,0.045,True,"vanguard_dynamic @ 4.5%, 100% equity / 10% domestic",1.2290618227572156,1.2561878152180543,0.0615,0.03087874411643896,1.908765758067986
1.0,0.1,vanguard_dynamic,vanguard_dynamic (asymmetric),0.035,True,"vanguard_dynamic (asymmetric) @ 3.5%, 100% equity / 10% domestic",1.1295490383029818,1.1343934719811821,0.01,0.0055027125246336125,1.6305096375398216
1.0,0.1,vanguard_dynamic,vanguard_dynamic (asymmetric),0.045,True,"vanguard_dynamic (asymmetric) @ 4.5%, 100% equity / 10% domestic",1.2046482667228249,1.2216565460827793,0.0215,0.012127366232300669,1.7537519733183218
1.0,0.1,endowment,endowment,0.035,True,"endowment @ 3.5%, 100% equity / 10% domestic",1.198545924900695,1.1930816259454042,0.0005,0.00021961053432735674,1.9575759016415626
1.0,0.1,endowment,endowment,0.045,True,"endowment @ 4.5%, 100% equity / 10% domestic",1.2703069630160295,1.2770221850319048,0.001,0.0004589690142003864,2.0437416349867132
1.0,0.1,endowment,endowment (light smoothing),0.035,True,"endowment (light smoothing) @ 3.5%, 100% equity / 10% domestic",1.2007862932914883,1.194300060385231,0.0,0.0,1.9906634322935561
1.0,0.1,endowment,endowment (light smoothing),0.045,True,"endowment (light smoothing) @ 4.5%, 100% equity / 10% domestic",1.2716623962824742,1.2752117481534304,0.0,0.0,2.065886964315784
1.0,0.1,life_expectancy,life_expectancy,,False,"life_expectancy, 100% equity / 10% domestic",1.2927091186353428,1.281603583410585,0.0,0.0,2.785293081709882
1.0,0.1,life_expectancy,life_expectancy (+5y buffer),,False,"life_expectancy (+5y buffer), 100% equity / 10% domestic",1.245690916611351,1.215004005648104,0.0,0.0,2.5390493399624057
1.0,0.1,gompertz,gompertz,,False,"gompertz, 100% equity / 10% domestic",1.3918372764931188,1.3942555719881968,0.0,0.0,2.3714407234521264
1.0,0.1,gompertz,gompertz (+5y buffer),,False,"gompertz (+5y buffer), 100% equity / 10% domestic",1.319893341285648,1.3039695021064437,0.0,0.0,2.345694895206634
1.0,0.1,amortisation,amortisation (0% assumed return),,False,"amortisation (0% assumed return), 100% equity / 10% domestic",1.2927091186353428,1.281603583410585,0.0,0.0,2.785293081709882
1.0,0.1,amortisation,amortisation (2% assumed return),,False,"amortisation (2% assumed return), 100% equity / 10% domestic",1.35589286315555,1.363441005972522,0.0,0.0,2.59481543246294
1.0,0.1,amortisation,amortisation (4% assumed return),,False,"amortisation (4% assumed return), 100% equity / 10% domestic",1.3856262849356935,1.4181181961320655,0.0,0.0,2.4223480796619166
1.0,0.3,constant_real,constant_real,0.035,True,"constant_real @ 3.5%, 100% equity / 30% domestic",1.0791688500980086,1.098134273203695,0.048,0.023494293476973706,1.5286877364535454
1.0,0.3,constant_real,constant_real,0.045,True,"constant_real @ 4.5%, 100% equity / 30% domestic",1.1082413146586974,1.1567359932394106,0.1365,0.068972751358917,1.6453680539537343
1.0,0.3,constant_percent,constant_percent,0.035,True,"constant_percent @ 3.5%, 100% equity / 30% domestic",1.1777412390655502,1.1720826328494474,0.0,0.0,1.9121475100794114
1.0,0.3,constant_percent,constant_percent,0.045,True,"constant_percent @ 4.5%, 100% equity / 30% domestic",1.245704421281418,1.2496413360579655,0.0,0.0,1.9793613163552257
1.0,0.3,guyton_klinger,guyton_klinger,0.035,True,"guyton_klinger @ 3.5%, 100% equity / 30% domestic",1.1180611009899373,1.1145648302037852,0.0,0.0,1.7635662633735782
1.0,0.3,guyton_klinger,guyton_klinger,0.045,True,"guyton_klinger @ 4.5%, 100% equity / 30% domestic",1.195459397907497,1.1988187667236885,0.001,0.00024420684216182125,1.8697002971197045
1.0,0.3,guyton_klinger,guyton_klinger (tight band),0.035,True,"guyton_klinger (tight band) @ 3.5%, 100% equity / 30% domestic",1.1358437378087323,1.1309828745522188,0.0,0.0,1.8085422506209647
1.0,0.3,guyton_klinger,guyton_klinger (tight band),0.045,True,"guyton_klinger (tight band) @ 4.5%, 100% equity / 30% domestic",1.2120437296195976,1.2142512125245324,0.001,0.0003200372897411962,1.9134007082191786
1.0,0.3,guyton_klinger,guyton_klinger (no inflation rule),0.035,True,"guyton_klinger (no inflation rule) @ 3.5%, 100% equity / 30% domestic",1.1691181411981306,1.1617122296260283,0.0095,0.004729996315856266,1.8273916179192156
1.0,0.3,guyton_klinger,guyton_klinger (no inflation rule),0.045,True,"guyton_klinger (no inflation rule) @ 4.5%, 100% equity / 30% domestic",1.241323014584602,1.2460506777670395,0.027,0.011530076962018071,1.9337514492103145
1.0,0.3,vanguard_dynamic,vanguard_dynamic,0.035,True,"vanguard_dynamic @ 3.5%, 100% equity / 30% domestic",1.1668120799897719,1.1683844626568596,0.026,0.012084435236441614,1.7305218386002723
1.0,0.3,vanguard_dynamic,vanguard_dynamic,0.045,True,"vanguard_dynamic @ 4.5%, 100% equity / 30% domestic",1.210608049678106,1.2388449190991349,0.0655,0.033242158414874295,1.8459703709823718
1.0,0.3,vanguard_dynamic,vanguard_dynamic (asymmetric),0.035,True,"vanguard_dynamic (asymmetric) @ 3.5%, 100% equity / 30% domestic",1.114611141394829,1.1193954236536032,0.0075,0.004617003852827688,1.5929138887673004
1.0,0.3,vanguard_dynamic,vanguard_dynamic (asymmetric),0.045,True,"vanguard_dynamic (asymmetric) @ 4.5%, 100% equity / 30% domestic",1.1901621474786372,1.206923111686336,0.0205,0.011079490269988916,1.7073681342275788
1.0,0.3,endowment,endowment,0.035,True,"endowment @ 3.5%, 100% equity / 30% domestic",1.1773740919549303,1.172699110447413,0.0005,0.00017974194421140126,1.8771974892690397
1.0,0.3,endowment,endowment,0.045,True,"endowment @ 4.5%, 100% equity / 30% domestic",1.2483109879917522,1.2554091931929223,0.001,0.00043903388965499884,1.9564676977726125
1.0,0.3,endowment,endowment (light smoothing),0.035,True,"endowment (light smoothing) @ 3.5%, 100% equity / 30% domestic",1.179045047400089,1.1735202838023762,0.0,0.0,1.906058253703528
1.0,0.3,endowment,endowment (light smoothing),0.045,True,"endowment (light smoothing) @ 4.5%, 100% equity / 30% domestic",1.2479969801896,1.2524650650686375,0.0,0.0,1.9755730939505498
1.0,0.3,life_expectancy,life_expectancy,,False,"life_expectancy, 100% equity / 30% domestic",1.2733491547549156,1.2614963498581777,0.0,0.0,2.6214617173180312
1.0,0.3,life_expectancy,life_expectancy (+5y buffer),,False,"life_expectancy (+5y buffer), 100% equity / 30% domestic",1.2251940023230878,1.1954437826274984,0.0,0.0,2.398622456197963
1.0,0.3,gompertz,gompertz,,False,"gompertz, 100% equity / 30% domestic",1.3671695964627242,1.3708185703037472,0.0,0.0,2.253835740508671
1.0,0.3,gompertz,gompertz (+5y buffer),,False,"gompertz (+5y buffer), 100% equity / 30% domestic",1.297058155330331,1.2821973981859078,0.0,0.0,2.22778260133879
1.0,0.3,amortisation,amortisation (0% assumed return),,False,"amortisation (0% assumed return), 100% equity / 30% domestic",1.2733491547549156,1.2614963498581777,0.0,0.0,2.6214617173180312
1.0,0.3,amortisation,amortisation (2% assumed return),,False,"amortisation (2% assumed return), 100% equity / 30% domestic",1.3351815696063174,1.3415273928777156,0.0,0.0,2.4525781803033273
1.0,0.3,amortisation,amortisation (4% assumed return),,False,"amortisation (4% assumed return), 100% equity / 30% domestic",1.363609179704316,1.3946478752064224,0.0,0.0,2.299509214495456
