trading_cost,strategy,label,cec_crra_gamma5,cec_ez_gamma5_psi1.5,prob_ruin,median_wealth_at_retirement,median_bequest,p5_retirement_consumption,mean_retirement_consumption
0.0005,bills_only,100% Bills (cash),0.7387454649380522,0.7661232237338004,0.5601,6.366825381279742,0.0,0.5406270168912519,0.9065108972927082
0.0005,solved_simplex,Solved simplex (docs/12),1.12101013170596,1.3618026088649162,0.07992,24.125369810591476,57.13364560057512,0.7980334633855235,1.8822310481206117
0.001,balanced_all_equity,50/50 Domestic/International Equity,1.0489755844489326,1.248986517359023,0.11712,21.225282394804374,44.998426072089416,0.7482423671706924,1.7271485543119203
0.001,domestic_equity,100% Domestic Equity,0.883032681245246,0.9946675020000494,0.25162,16.11274390040957,16.860616244265508,0.6275218416153541,1.5289500373480285
0.001,international_equity,100% International Equity,1.1094293553441226,1.358729044037208,0.09082,24.476381717006852,64.50011930664564,0.7939236594749478,1.9032114005483318
0.001,sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.8719119668239437,0.9640021042615602,0.23976,13.323823254425001,10.311079687756,0.622559822382762,1.2908206166128624
0.001,target_date_fund,Target-Date Fund (glide path),0.9442737268879147,1.0538123573257465,0.22084,16.38681495325949,9.506543971916754,0.6823564865158098,1.4193103204354118
0.001,bills_only,100% Bills (cash),0.7387454649380522,0.7661232237338004,0.5601,6.366825381279742,0.0,0.5406270168912519,0.9065108972927082
0.001,solved_simplex,Solved simplex (docs/12),1.1206711269184684,1.361142748649044,0.08008,24.11318830092604,56.93371886195267,0.7979384058895239,1.8814592786677653
0.0025,balanced_all_equity,50/50 Domestic/International Equity,1.048444582450871,1.2481097217088213,0.1174,21.197925015128618,44.83007518834251,0.7477753220697888,1.72567599342583
0.0025,domestic_equity,100% Domestic Equity,0.883032681245246,0.9946675020000494,0.25162,16.11274390040957,16.860616244265508,0.6275218416153541,1.5289500373480285
0.0025,international_equity,100% International Equity,1.1094293553441226,1.358729044037208,0.09082,24.476381717006852,64.50011930664564,0.7939236594749478,1.9032114005483318
0.0025,sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.8716248014389051,0.963576452307973,0.24012,13.310766865565437,10.265399016055202,0.6223712754578429,1.2898946762094725
0.0025,target_date_fund,Target-Date Fund (glide path),0.9437695799992379,1.0530738186785682,0.22122,16.361901008554394,9.449240079845946,0.6819667557961593,1.417929893920939
0.0025,bills_only,100% Bills (cash),0.7387454649380522,0.7661232237338004,0.5601,6.366825381279742,0.0,0.5406270168912519,0.9065108972927082
0.0025,solved_simplex,Solved simplex (docs/12),1.119622802795126,1.3591658465944099,0.08098,24.072575332999477,56.31375042846562,0.7974790275843341,1.8791456453578088
0.005,balanced_all_equity,50/50 Domestic/International Equity,1.0475513163899692,1.2466508492246842,0.11782,21.152335283694885,44.56886895034121,0.7472844546795918,1.7232268942531368
0.005,domestic_equity,100% Domestic Equity,0.883032681245246,0.9946675020000494,0.25162,16.11274390040957,16.860616244265508,0.6275218416153541,1.5289500373480285
0.005,international_equity,100% International Equity,1.1094293553441226,1.358729044037208,0.09082,24.476381717006852,64.50011930664564,0.7939236594749478,1.9032114005483318
0.005,sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.8711457310505062,0.9628677502350182,0.24082,13.284088052617843,10.181331559399664,0.621934777615531,1.2883550312089012
0.005,target_date_fund,Target-Date Fund (glide path),0.9429317740299047,1.0518452693547384,0.2222,16.32004611301806,9.349704921504529,0.6813471688397489,1.415634416733596
0.005,bills_only,100% Bills (cash),0.7387454649380522,0.7661232237338004,0.5601,6.366825381279742,0.0,0.5406270168912519,0.9065108972927082
0.005,solved_simplex,Solved simplex (docs/12),1.1178722846773101,1.3558804101431199,0.08236,24.009096739281937,55.292960293898005,0.7966179484770309,1.875293915480708
0.01,balanced_all_equity,50/50 Domestic/International Equity,1.0457789803047726,1.243741838646864,0.11886,21.05962045365404,43.986251960091,0.7461408147308902,1.718345759143924
0.01,domestic_equity,100% Domestic Equity,0.883032681245246,0.9946675020000494,0.25162,16.11274390040957,16.860616244265508,0.6275218416153541,1.5289500373480285
0.01,international_equity,100% International Equity,1.1094293553441226,1.358729044037208,0.09082,24.476381717006852,64.50011930664564,0.7939236594749478,1.9032114005483318
0.01,sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.8701943753867668,0.9614534657972431,0.24214,13.232433097430285,10.025947996655571,0.6211175207258322,1.2852878531037735
0.01,target_date_fund,Target-Date Fund (glide path),0.9412671276694843,1.0493970503165924,0.22364,16.237837588271503,9.170697032266347,0.6803998506442946,1.4110640766344706
0.01,bills_only,100% Bills (cash),0.7387454649380522,0.7661232237338004,0.5601,6.366825381279742,0.0,0.5406270168912519,0.9065108972927082
0.01,solved_simplex,Solved simplex (docs/12),1.1144322713217096,1.349349532606085,0.08492,23.880894249925227,53.29927945993514,0.7948406026570448,1.8676019320926052
0.02,balanced_all_equity,50/50 Domestic/International Equity,1.0422392117969026,1.2379624297061445,0.12062,20.891486652518253,42.95197193474734,0.743538871041074,1.7086509344192904
0.02,domestic_equity,100% Domestic Equity,0.883032681245246,0.9946675020000494,0.25162,16.11274390040957,16.860616244265508,0.6275218416153541,1.5289500373480285
0.02,international_equity,100% International Equity,1.1094293553441226,1.358729044037208,0.09082,24.476381717006852,64.50011930664564,0.7939236594749478,1.9032114005483318
0.02,sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.8682916249685237,0.9586362380182567,0.24438,13.127661257816634,9.715940058827865,0.619858101601826,1.27920160761307
0.02,target_date_fund,Target-Date Fund (glide path),0.937948744174062,1.0445357111419034,0.22748,16.06702959394293,8.803711590280288,0.6779124134945232,1.4020040360713384
0.02,bills_only,100% Bills (cash),0.7387454649380522,0.7661232237338004,0.5601,6.366825381279742,0.0,0.5406270168912519,0.9065108972927082
0.02,solved_simplex,Solved simplex (docs/12),1.107557484093391,1.336438118187351,0.09134,23.623933382667616,49.55540414563541,0.7905176143193052,1.8522398078749522
0.03,balanced_all_equity,50/50 Domestic/International Equity,1.0386882831435877,1.2322295236127376,0.1227,20.71682268088139,41.940245236834826,0.7408050590792176,1.6990497080432438
0.03,domestic_equity,100% Domestic Equity,0.883032681245246,0.9946675020000494,0.25162,16.11274390040957,16.860616244265508,0.6275218416153541,1.5289500373480285
0.03,international_equity,100% International Equity,1.1094293553441226,1.358729044037208,0.09082,24.476381717006852,64.50011930664564,0.7939236594749478,1.9032114005483318
0.03,sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.8663984548565421,0.9558343475833414,0.24678,13.020417568539536,9.400245249127149,0.6187650882150828,1.2731798416095377
0.03,target_date_fund,Target-Date Fund (glide path),0.9346751478917823,1.0397224802536742,0.23104,15.897025533373402,8.43819896139945,0.6757335248178187,1.393051042629631
0.03,bills_only,100% Bills (cash),0.7387454649380522,0.7661232237338004,0.5601,6.366825381279742,0.0,0.5406270168912519,0.9065108972927082
0.03,solved_simplex,Solved simplex (docs/12),1.1005311008392078,1.323734613297612,0.0983,23.375674905748163,46.06083972297328,0.7867042540223894,1.836947726235169
