rule,variant,rate,parameters,strategy,cec_gamma2,cec_nobequest_gamma2,cec_gamma5,cec_nobequest_gamma5,cec_gamma10,cec_nobequest_gamma10,prob_ruin,median_bequest,p5_bequest,median_retirement_consumption,p5_retirement_consumption,consumption_volatility,median_worst_spending_cut,p90_worst_spending_cut,median_total_real_spending,median_first_year_spending,median_final_year_spending
guyton_klinger,Guyton-Klinger guardrails,0.08,-,balanced_all_equity,1.6518455109737582,1.6303244556423113,1.0775874236152567,1.071733337809976,0.7499035057518851,0.747227054740441,0.19462,5.177846311975264,0.0,1.8241813553522923,0.6830316858170629,0.23148264269379026,0.39715416081943883,0.7399491223786694,55.957106476831854,2.237120696426947,1.403417147494642
guyton_klinger,Guyton-Klinger guardrails,0.09,-,balanced_all_equity,1.6120874466399753,1.6047424157836665,1.0262782834279753,1.0219009742157077,0.7144546824107239,0.7119114736647696,0.36542,1.2390766312170793,0.0,1.7955758188613196,0.6291193699098769,0.2890540315219836,0.5190006708854502,0.8196635937470926,55.37700780331137,2.433998308225127,1.0232447186929747
guyton_klinger,Guyton-Klinger guardrails,0.1,-,balanced_all_equity,1.5409497663513898,1.544400354160853,0.9617949618812007,0.9580433939378817,0.6785867787473095,0.6761665079021966,0.55302,0.0,0.0,1.728212735588002,0.5749172311967677,0.36608894727610136,0.647552404172183,0.8616631114576294,54.138646597400204,2.6303728275164433,0.8157477760164651
guyton_klinger,Guyton-Klinger guardrails (tight band),0.02,"adjustment=0.1, guardrail=0.1",balanced_all_equity,1.174256243742349,1.1380283824999462,0.897935423221892,0.8906220191486598,0.7048912092377623,0.702330954219055,0.00012,64.55186180580174,6.2329057872909805,1.2472847916779677,0.6218385124095004,0.2102737053842939,0.12007421458623285,0.30755072289913166,39.45857151926113,1.0620940180198,1.6830972078308395
guyton_klinger,Guyton-Klinger guardrails (tight band),0.025,"adjustment=0.1, guardrail=0.1",balanced_all_equity,1.2624521226930896,1.2239080491198162,0.9415228221438472,0.9338614285319202,0.7250293005356464,0.7223959943077364,0.00028,55.69521913266611,5.258817118214068,1.3558864413124734,0.6458430474783433,0.21513147391625417,0.1398054343772227,0.3423590292580573,42.9231315949549,1.159844970743055,1.8082624818569268
guyton_klinger,Guyton-Klinger guardrails (tight band),0.03,"adjustment=0.1, guardrail=0.1",balanced_all_equity,1.3405018948146972,1.3000928872976634,0.978752280672226,0.9707999119707896,0.7414778867850096,0.7387850231095969,0.0008,47.85214850056272,4.344610563744661,1.4523714200344822,0.6661181863379918,0.21546698109814721,0.1585084622556902,0.37361158329264255,45.83554567046319,1.257553391796236,1.895360078633818
guyton_klinger,Guyton-Klinger guardrails (tight band),0.035,"adjustment=0.1, guardrail=0.1",balanced_all_equity,1.4094912859678748,1.367685990974737,1.0106485816412,1.00246117201918,0.7549474178590487,0.752206073410779,0.00152,40.81852547831463,3.515301877033333,1.5379247708823196,0.6835568139678774,0.21307845014352803,0.17778159134825483,0.4029737465709006,48.37709572488405,1.3558264591862208,1.9500319761680256
guyton_klinger,Guyton-Klinger guardrails (tight band),0.04,"adjustment=0.1, guardrail=0.1",balanced_all_equity,1.4702026349764985,1.4274979230650142,1.037874436015664,1.0295125965378205,0.7656784868271214,0.7628991525443413,0.00408,34.43475306921992,2.802257984524749,1.6116690785997287,0.697771670879067,0.20917725595951947,0.19645982546524487,0.4307531128334273,50.48658824582051,1.4526715046868452,1.9713644740362124
guyton_klinger,Guyton-Klinger guardrails (tight band),0.045,"adjustment=0.1, guardrail=0.1",balanced_all_equity,1.5224147351239488,1.4793476996462567,1.0604500564179293,1.0519776835863843,0.7739413043863124,0.7711335958974762,0.00772,28.93877804130755,2.101317199134465,1.6745890729493298,0.7093684275883791,0.20489465663212372,0.21671004047742293,0.4590683688755574,52.2082608831073,1.5517477199009972,1.9642659470002835
guyton_klinger,Guyton-Klinger guardrails (tight band),0.05,"adjustment=0.1, guardrail=0.1",balanced_all_equity,1.5672771588185426,1.5245011337059458,1.0789688500193553,1.0704621768379203,0.7799807970251625,0.7771537053478117,0.01376,23.934267871295617,1.3875352294666896,1.7273033691181645,0.7178526392920539,0.20080109298187512,0.2365692779699824,0.48748730553367237,53.643897350723854,1.6507724789805869,1.9378467379228739
guyton_klinger,Guyton-Klinger guardrails (tight band),0.055,"adjustment=0.1, guardrail=0.1",balanced_all_equity,1.6041862526681785,1.5624605806960514,1.0931059165004944,1.0846674128508162,0.7836460588521864,0.7808096265705553,0.02244,19.5885724188892,0.7627119537913769,1.769479104097933,0.723437369007522,0.1979857707032947,0.2591873499261899,0.5176293651353779,54.70802229548754,1.7488543195782895,1.8921708480689325
guyton_klinger,Guyton-Klinger guardrails (tight band),0.06,"adjustment=0.1, guardrail=0.1",balanced_all_equity,1.633366718612909,1.5937079213225012,1.102724340102074,1.0944967155803054,0.7846812707036497,0.7818471484389993,0.03678,15.59444699604259,0.10392146603573948,1.8033955156898442,0.7255631199805602,0.1974515460967763,0.283915811185285,0.5520133978723197,55.60724668348617,1.8479493726030347,1.8387956471064566
guyton_klinger,Guyton-Klinger guardrails (tight band),0.065,"adjustment=0.1, guardrail=0.1",balanced_all_equity,1.654226313900131,1.6178085620220743,1.107203949689357,1.0993653829286123,0.7823012618102895,0.7794841262837999,0.06056,12.079545406052443,0.0,1.826660369837409,0.7241358424192397,0.20010651150953737,0.311592341898454,0.5955588093495292,56.20143738212424,1.9478464267132742,1.7552280827275277
guyton_klinger,Guyton-Klinger guardrails (tight band),0.07,"adjustment=0.1, guardrail=0.1",balanced_all_equity,1.666093451243371,1.634180956562211,1.1054856204230956,1.0982243068400321,0.775859410025523,0.7730751690529208,0.09174,9.062489276313869,0.0,1.8408694210529069,0.7173197173150023,0.20728044380405078,0.3442153497646779,0.6438701499042885,56.584432567887916,2.046182552617381,1.661684463624236
guyton_klinger,Guyton-Klinger guardrails (tight band),0.08,"adjustment=0.1, guardrail=0.1",balanced_all_equity,1.6618510317515005,1.642417239926035,1.0817563660235816,1.0760964040214807,0.7517919011665287,0.7491123640354741,0.19856,4.226776031620345,0.0,1.8434736960900806,0.6863686288763076,0.2373187996835139,0.42764736191234776,0.7544256693757802,56.620724187197155,2.2440919739139193,1.3971702970615643
guyton_klinger,Guyton-Klinger guardrails (tight band),0.09,"adjustment=0.1, guardrail=0.1",balanced_all_equity,1.6200461448946253,1.6147080591331477,1.032854694993459,1.0286706953062539,0.7186255574602598,0.7160714990288773,0.36468,0.9195053772516962,0.0,1.8078291810790865,0.6339757716395719,0.29239849044161914,0.5409714374174486,0.8290170462134724,55.85545866623614,2.44118944953111,1.0146627919851283
guyton_klinger,Guyton-Klinger guardrails (tight band),0.1,"adjustment=0.1, guardrail=0.1",balanced_all_equity,1.5506258822900019,1.5559590085118753,0.9712009083354559,0.967668950768583,0.6837265467583383,0.6812919405794945,0.55474,0.0,0.0,1.7351005838453764,0.5816199494654787,0.36585841918008793,0.6596041827365848,0.8684387233585898,54.52515203341606,2.638594235275314,0.8103471265657816
guyton_klinger,Guyton-Klinger guardrails (no inflation rule),0.02,apply_inflation_rule=False,balanced_all_equity,1.1937836658432408,1.157281019156344,0.9184577735935153,0.9109943168088459,0.7233676348746856,0.7207406164117135,0.00156,62.79487603367808,4.803026756922742,1.2705481615969685,0.641638006329129,0.2062246976409982,0.034394503857436975,0.1563401154927941,40.20408540797289,1.0680250008587548,1.7752414280212565
guyton_klinger,Guyton-Klinger guardrails (no inflation rule),0.025,apply_inflation_rule=False,balanced_all_equity,1.2863762053886534,1.247787391604028,0.9674527558054976,0.9596347143134711,0.7479714509586975,0.7452561243427214,0.00422,53.67527172501464,3.542712969694345,1.383168309858381,0.6698122076826081,0.20749781371987877,0.045242281347642355,0.1881909738746828,43.76151386138943,1.1673084145535095,1.9139053650132192
guyton_klinger,Guyton-Klinger guardrails (no inflation rule),0.03,apply_inflation_rule=False,balanced_all_equity,1.3685022704618486,1.328546897110112,1.0095557244318505,1.0014964751602846,0.7676909872665288,0.7649069303212543,0.0116,45.439437735049886,2.3221619186539564,1.4839424680674016,0.6936912262823391,0.20466575018747724,0.0560080990174146,0.22145373358146972,46.84502683449743,1.2670573601402206,2.0080419350951844
guyton_klinger,Guyton-Klinger guardrails (no inflation rule),0.035,apply_inflation_rule=False,balanced_all_equity,1.4403359884024791,1.3998020757235996,1.0444095128441293,1.0362410350523943,0.7814439309043137,0.7786149974229826,0.02386,38.0129078213451,1.1822559386138083,1.5729979679415158,0.7125619380955774,0.2000071595413555,0.06611604958206169,0.2569395370567564,49.47904739692068,1.366277785184261,2.061450848908451
guyton_klinger,Guyton-Klinger guardrails (no inflation rule),0.04,apply_inflation_rule=False,balanced_all_equity,1.5023860189829503,1.4621753391921541,1.0719133683879285,1.0637830213669366,0.7887676825194214,0.7859191290934276,0.04026,31.421655003562343,0.15094866246281038,1.649997152949327,0.7265844910262873,0.19500698432584013,0.07630175513341314,0.29854275665437074,51.684655446177885,1.4650897325441807,2.0832612661081207
