iso,start_year,end_year,international_equity,balanced_all_equity,gap_pct,first_wins,ruin_first,ruin_second
GBR,1906,1973,1.5885474462294988,1.383688347476686,14.80529189440649,True,False,False
GBR,1907,1974,1.571953855415608,1.399872619692774,12.29263529424558,True,False,False
GBR,1908,1975,1.4596423683839679,1.3569286719291815,7.56957226858177,True,False,False
GBR,1909,1976,1.5127776024327695,1.4170203857350423,6.757645667042089,True,False,False
GBR,1910,1977,1.5596887459393747,1.394980020110224,11.807246229672618,True,False,False
GBR,1911,1978,1.2460819008439943,1.2202686433116505,2.115374976963258,True,False,False
GBR,1912,1979,1.7352143389017065,1.4253628971281735,21.7384248178357,True,False,False
GBR,1913,1980,1.7305351214153528,1.4372917007122032,20.402498710445638,True,False,False
GBR,1914,1981,1.9148113375837972,1.4898070154566645,28.52747488216505,True,False,False
GBR,1915,1982,1.8098563611066831,1.4039242570193287,28.91410288395393,True,False,False
GBR,1916,1983,1.895594078513986,1.4900491469553083,27.216882905328845,True,False,False
GBR,1917,1984,2.2716823230979326,1.7772085288529147,27.823059940195783,True,False,False
GBR,1918,1985,2.3665529124969997,1.8133237996655829,30.509118831035288,True,False,False
GBR,1919,1986,2.2872841447857355,1.683229000500804,35.88668827029535,True,False,False
GBR,1920,1987,2.0849730432936493,1.5704997763011117,32.75856989959212,True,False,False
GBR,1921,1988,2.198185427383139,1.7641517020396968,24.602970642582278,True,False,False
GBR,1922,1989,2.4795111887808425,2.0874578531373205,18.781377312806114,True,False,False
GBR,1923,1990,2.4671549226296516,2.032106710968454,21.40872865155117,True,False,False
GBR,1924,1991,2.432861554306,1.9700022385930744,23.495370037928897,True,False,False
GBR,1925,1992,2.1672609489252537,1.8100972832579691,19.731738673428122,True,False,False
GBR,1926,1993,2.1585930094103523,1.86863282238648,15.51723717736888,True,False,False
GBR,1927,1994,2.080210414568662,1.7607750331070326,18.14174868767644,True,False,False
GBR,1928,1995,1.9407744421303101,1.7138591061074053,13.240022777501537,True,False,False
GBR,1929,1996,1.7821705032885822,1.586926099567694,12.30330787136693,True,False,False
GBR,1930,1997,1.9910734575476283,1.7889060723073433,11.301173849755465,True,False,False
GBR,1931,1998,2.132362277282702,2.04303097042659,4.372489117845291,True,False,False
GBR,1932,1999,2.16634659286231,1.9178927301829702,12.954523408388784,True,False,False
GBR,1933,2000,1.9534845834565582,1.7343974814390672,12.631885387408982,True,False,False
GBR,1934,2001,1.8119814710895719,1.8161518717399665,-0.22962840912633675,False,False,False
GBR,1935,2002,2.1192091898489567,1.9929174483783547,6.337028238343034,True,False,False
GBR,1936,2003,2.216786110202009,1.7994670704143203,23.19125738108687,True,False,False
GBR,1937,2004,1.7332444230740316,1.2970712792976904,33.62753849676716,True,False,False
GBR,1938,2005,1.716784276156786,1.5887534754561752,8.05856935506306,True,False,False
GBR,1939,2006,1.6839263960755038,1.506170861197277,11.801817407151693,True,False,False
GBR,1940,2007,1.3763988873808846,1.4725411657962022,-6.529004461707766,False,False,False
GBR,1941,2008,1.373900315770308,1.4550597634020053,-5.577739806504045,False,False,False
GBR,1942,2009,1.2967967923255361,1.3881238516405388,-6.579172255203936,False,False,False
GBR,1943,2010,1.2169448965622014,1.377826116734425,-11.676453089271298,False,False,False
