savings_rate,strategy,label,cec_crra_gamma2,cec_crra_gamma5,cec_crra_gamma10,cec_ez_gamma2_psi1.5,cec_ez_gamma5_psi1.5,cec_ez_gamma10_psi1.5,prob_ruin,median_wealth_at_retirement,mean_wealth_at_retirement,median_bequest,mean_bequest,p5_bequest,prob_zero_bequest,median_retirement_consumption,mean_retirement_consumption,p1_wealth_at_retirement,p1_bequest,p1_retirement_consumption,p5_wealth_at_retirement,p5_retirement_consumption,p10_wealth_at_retirement,p10_bequest,p10_retirement_consumption,p25_wealth_at_retirement,p25_bequest,p25_retirement_consumption,p50_wealth_at_retirement,p50_bequest,p50_retirement_consumption,p75_wealth_at_retirement,p75_bequest,p75_retirement_consumption,p90_wealth_at_retirement,p90_bequest,p90_retirement_consumption,p95_wealth_at_retirement,p95_bequest,p95_retirement_consumption,p99_wealth_at_retirement,p99_bequest,p99_retirement_consumption,mean_consumption_target,mean_consumption_shortfall,prob_consumption_below_target,median_consumption_replacement_ratio,p5_consumption_replacement_ratio
0.075,target_date_fund,Target-Date Fund (glide path),1.0842286569787067,0.8742765871299526,0.6856528793199173,1.1672408562470216,0.9511305226809252,0.7592215630278226,0.22082,11.990782470168579,15.808166701175896,7.0007434714023375,26.52774452988417,0.0,0.23822,1.1140568100744015,1.260768301121779,1.7484222705324057,0.0,0.47945330401788655,3.3127366512273095,0.5949233478208024,4.5543377700668435,0.0,0.6783979688494961,7.374665678520217,0.24589642998417466,0.8511300488076435,11.990782470168579,7.0007434714023375,1.1140568100744015,19.091206072520283,22.6239219103358,1.4743538324211332,29.735774383693922,55.05007601971975,1.9521574110557813,39.9117409758777,96.61259042671875,2.3759925795990955,76.55833640630593,341.7685442503404,3.792929563510867,1.075741161498871,0.07684442729912365,0.369,1.0982854447533426,0.7307381514532725
0.075,bills_only,100% Bills (cash),0.7945889999451544,0.7034620390470383,0.6006019696653204,0.8059543867747431,0.7241013759050836,0.6289529495520263,0.57972,4.713921770885024,5.343763205318827,0.0,0.947213498568702,0.0,0.61956,0.8038743512518345,0.844580247339858,0.7146685365368981,0.0,0.4308161573114759,1.5048192093295747,0.5028718616420507,2.0679120238562336,0.0,0.552864110333512,3.162625520205471,0.0,0.6535480689508508,4.713921770885024,0.0,0.8038743512518345,6.787645059475178,0.7517984117841177,0.9946816295216583,9.343752897678472,2.8781971262651225,1.1897915055142774,11.205744214416814,5.02052606421509,1.3165755267018007,15.96822433363347,11.846718771167263,1.6103178086027565,1.075741161498871,0.23542113586610988,0.91666,0.8131909025497066,0.6242499169645062
0.1,balanced_all_equity,50/50 Domestic/International Equity,1.358322952274493,1.0025242507178538,0.7355353848024861,1.582893243869437,1.165027449677994,0.861360749328979,0.14448,20.07978708978618,28.077218070225502,36.915879985987075,177.05815415315686,0.0,0.15308,1.4322342252312072,1.740144843040017,2.6873696789212733,0.0,0.5081975328848761,5.0659178183957945,0.6662167400494348,7.035498552549397,0.0,0.7827232702268223,11.766029836601142,7.167810486518147,1.0341502540284497,20.07978708978618,36.915879985987075,1.4322342252312072,33.55369986712904,112.43918852535752,2.027025750758563,54.466807838331654,280.2757343132426,2.90003755468334,75.29848608855988,496.8240925572417,3.740308492041178,149.3909725228749,2657.039834017374,6.662852411445781,1.075741161498871,0.033803312495152116,0.17064,1.4092883185939764,0.8150294994942401
0.1,domestic_equity,100% Domestic Equity,1.1625493549017787,0.8636009244767896,0.6609637220100234,1.3013736721399947,0.965905727198751,0.7414798417640199,0.28052,15.108063489633508,34.79101091688022,12.57720887751137,2349.902259476053,0.0,0.29232,1.2009058124724812,1.9614367215460253,1.0778279668581936,0.0,0.45778400130166164,2.77330293997912,0.5669249441050854,4.265057818531017,0.0,0.6512804869171431,8.018693736533397,0.0,0.8541309614006476,15.108063489633508,12.57720887751137,1.2009058124724812,28.356738937573702,64.14378957909919,1.7770741624229571,52.16465545939455,212.1470060850556,2.7246546445130915,80.78125090733201,478.4071166573387,3.8187291944527137,448.91265266005485,38191.92991055384,18.11312172141247,1.075741161498871,0.07446495501995008,0.32974,1.1867509105875111,0.7099437081070462
0.1,international_equity,100% International Equity,1.4487950845358288,1.0446254363936025,0.7449834117823239,1.7304874947547946,1.2359794178769254,0.8787265504350819,0.11556,23.035540431490276,30.15229022351887,55.6762165787637,139.04304690395756,0.0,0.12194,1.551813735347518,1.825666228176157,2.7501892646303143,0.0,0.518822886470559,5.686238170261025,0.6963123039300665,7.988652904866822,0.0,0.827741182617391,13.66677526047373,14.341383377747583,1.1118369106376313,23.035540431490276,55.6762165787637,1.551813735347518,37.837935050006806,149.65540769049161,2.197491208465234,59.073372819766924,332.3766881585456,3.087669188087936,78.21159458990947,533.988841196949,3.856935610563629,131.10497507722405,1277.353049238504,5.957311661800457,1.075741161498871,0.02688327928302631,0.1352,1.5317664434121192,0.8393982966719026
0.1,sixty_forty,60/40 Domestic Equity/Domestic Bonds,1.1197220756361457,0.8748981638344984,0.6765895710291767,1.2268058942824673,0.9621761862961277,0.7521209217945327,0.23874,13.276144452025072,19.655086165845848,9.927647323925871,139.97991533473245,0.0,0.25256,1.1542240811963582,1.4027997234259755,1.4513477131512074,0.0,0.47017714744300765,3.2012814697090786,0.5861477684481207,4.599342107070248,0.0,0.6707791677087062,7.8819976150358775,0.0,0.8611743921396755,13.276144452025072,9.927647323925871,1.1542240811963582,21.91881417228435,36.358407167249396,1.5785317163605943,35.7753962264165,102.11857632889,2.1791679043030454,50.93902099983887,207.0187140958172,2.803440417967267,142.21569584197516,3991.5856804884825,6.337323203590804,1.075741161498871,0.07107206182112362,0.33332,1.14095864619276,0.7249705494349523
0.1,target_date_fund,Target-Date Fund (glide path),1.2112935748422073,0.936437171701132,0.7043992235633713,1.314782209299764,1.035588399718474,0.8025876147988766,0.22082,15.987709960224779,21.077555601567862,9.334324628536438,35.37032603984556,0.0,0.23822,1.2666851885842894,1.461000841368301,2.3312296940432082,0.0,0.48737645239897354,4.416982201636415,0.6234995788191559,6.0724503600891255,0.0,0.7266484833783282,9.832887571360288,0.3278619066455664,0.9380039317424544,15.987709960224779,9.334324628536438,1.2666851885842894,25.454941430027052,30.16522921378104,1.7177318626974345,39.647699178258534,73.40010135962629,2.333856834365839,53.2156546345036,128.81678723562504,2.8956035760810406,102.07778187507458,455.6913923337868,4.811509358814679,1.075741161498871,0.047650680234622114,0.2397,1.2456792361041362,0.7788076426020673
0.1,bills_only,100% Bills (cash),0.8441785632073282,0.7359849791218606,0.6164928484877124,0.8586570389571182,0.7624345533313678,0.6532622712272631,0.57972,6.285229027846699,7.12501760709177,0.0,1.2629513314249359,0.0,0.61956,0.8547309360909784,0.9060834363257402,0.9528913820491977,0.0,0.4367170286802935,2.006425612439432,0.5163298252595968,2.7572160318083108,0.0,0.5725438581560751,4.216834026940628,0.0,0.6874146782450363,6.285229027846699,0.0,0.8547309360909784,9.050193412633572,1.0023978823788233,1.074321774279985,12.458337196904633,3.8375961683534805,1.3047761044000734,14.940992285889086,6.694034752286761,1.456405006510578,21.29096577817797,15.795625028223016,1.8094712564083022,1.075741161498871,0.18411078415063034,0.81156,0.8670331654219279,0.6553654107874025
0.15,balanced_all_equity,50/50 Domestic/International Equity,1.6539770141522352,1.1125865708379146,0.7575653719778457,1.9610497946757712,1.3448312066599932,0.9410611022069593,0.14448,30.11968063467927,42.11582710533825,55.373819978980585,265.5872312297353,0.0,0.15308,1.817199106690774,2.28018192436892,4.031054518381909,0.0,0.5228036829733858,7.59887672759369,0.7291434902238505,10.553247828824096,0.0,0.8921173805751255,17.649044754901706,10.751715729777198,1.2542590506846056,30.11968063467927,55.373819978980585,1.817199106690774,50.33054980069358,168.65878278803672,2.6773955765192277,81.70021175749746,420.4136014698639,3.9731776023979357,112.94772913283987,745.2361388358631,5.227964772557151,224.08645878431224,3985.559751026065,9.639737007774947,1.075741161498871,0.014998282121597444,0.08116,1.786339479364044,0.9213421186760746
0.15,domestic_equity,100% Domestic Equity,1.35621789818247,0.9269463517661467,0.6761357505066086,1.544301099879374,1.0692529691560866,0.7848522675973053,0.28052,22.66209523445026,52.18651637532033,18.86581331626705,3524.8533892140786,0.0,0.29232,1.4711900625539296,2.6121197421279305,1.616741950287291,0.0,0.4631351571161301,4.159954409968679,0.5878025075330833,6.3975867277965195,0.0,0.6960410957063872,12.028040604800097,0.0,0.9697752528509761,22.66209523445026,18.86581331626705,1.4711900625539296,42.535108406360564,96.2156843686487,2.3028859739405974,78.2469831890918,318.2205091275839,3.7064612796519762,121.17187636099806,717.6106749860076,5.344119633065839,673.3689789900816,57287.8948658307,26.777552493725487,1.075741161498871,0.04400292806042864,0.20078,1.4510879819032223,0.7638537440966577
