iso,start_year,end_year,domestic_annualised,sleeve_annualised,excess_pp
DNK,1947,2014,0.06960733846291278,0.06707304206440368,-0.2534296398509106
DNK,1948,2015,0.07379323665683368,0.0695891963193711,-0.4204040337462578
DNK,1949,2016,0.07251227066784605,0.07009223595158431,-0.2420034716261732
DNK,1950,2017,0.07592563057179569,0.06564622443543322,-1.0279406136362468
DNK,1951,2018,0.07185401732405694,0.06270909318482332,-0.9144924139233623
DNK,1952,2019,0.07788377703589111,0.06529880428068591,-1.2584972755205204
DNK,1953,2020,0.08283952000395556,0.06549692853091527,-1.7342591473040292
ESP,1941,2008,0.03839835034757866,0.06991787134666616,3.1519520999087502
ESP,1942,2009,0.04183759822307764,0.07431743718192396,3.247983895884632
ESP,1943,2010,0.03921140685322522,0.07634968762631877,3.7138280773093557
ESP,1944,2011,0.04054490804254618,0.07444065969383384,3.3895751651287664
ESP,1945,2012,0.04175619799405039,0.07684868182814775,3.5092483834097354
ESP,1946,2013,0.04441100752280702,0.08229534282143969,3.7884335298632665
ESP,1947,2014,0.043734980334759754,0.0730123933570741,2.9277413022314347
ESP,1948,2015,0.04060356311050217,0.07288867053998782,3.228510742948565
ESP,1949,2016,0.04732784696884629,0.07811490368102403,3.078705671217774
ESP,1950,2017,0.05096809859592133,0.06945198769423344,1.8483889098312112
FIN,1896,1963,0.023876898106941713,0.06294819439124333,3.9071296284301615
FIN,1897,1964,0.02309897634436897,0.06063440122722019,3.753542488285122
FIN,1898,1965,0.019944625252903192,0.060321878668286644,4.037725341538345
FIN,1899,1966,0.019256602356950703,0.05854613121264851,3.928952885569781
FIN,1900,1967,0.019096685325824758,0.06289880258023106,4.38021172544063
FIN,1901,1968,0.02344926188335328,0.06434249488359978,4.08932330002465
FIN,1902,1969,0.02638258263991511,0.06565712455877803,3.9274541918862926
FIN,1903,1970,0.029311818948477786,0.06344833411992035,3.413651517144256
FIN,1904,1971,0.029767057843674172,0.06347965472746586,3.371259688379169
FIN,1905,1972,0.036847683649269936,0.06523431648618683,2.838663283691689
FIN,1906,1973,0.03869809373041977,0.06292923064671463,2.423113691629486
FIN,1907,1974,0.033645559290209626,0.05484915297291493,2.12035936827053
FIN,1908,1975,0.029476115318738172,0.056966450242233346,2.7490334923495174
FIN,1909,1976,0.026479929249141332,0.05504780102811013,2.85678717789688
FIN,1910,1977,0.021352760753689415,0.052568846564765126,3.121608581107571
