credit,strategy,label,cec_crra_gamma5,cec_ez_gamma5_psi1.5,prob_ruin,median_wealth_at_retirement,median_bequest,p5_retirement_consumption,mean_retirement_consumption,n_paths
0.1,domestic_equity,100% Domestic Equity,0.9000504394236145,1.0212245801493613,0.23337,17.525106220217125,22.42318061560573,0.638691038963054,1.617329640575911,100000
0.1,international_equity,100% International Equity,1.0469930412547468,1.2543883052114682,0.12122,21.226082774301712,42.796109565028544,0.7529089180806426,1.731495329536707,100000
0.1,sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.8824322194877011,0.9804431459354468,0.22739,14.01258837047735,12.355618548405337,0.6301121562521795,1.3284665014807138,100000
0.1,target_date_fund,Target-Date Fund (glide path),0.9415085325790401,1.0509322603435558,0.22271,16.340118046828152,9.290725391204436,0.6814965398247899,1.4194430163075222,100000
0.1,bills_only,100% Bills (cash),0.738999359783288,0.7664522001573014,0.56357,6.395067469984038,0.0,0.5405300135722927,0.908272012393883,100000
0.1,domestic_000,0% domestic equity,1.0469930412547468,1.2543883052114682,0.12122,21.226082774301712,42.796109565028544,0.7529089180806426,1.731495329536707,100000
0.1,domestic_010,10% domestic equity,1.0632533355375258,1.277362338693857,0.10747,21.334226921409776,44.11332251069767,0.7641614828709392,1.7299252554699742,100000
0.1,domestic_020,20% domestic equity,1.0706467631641507,1.2867882528155083,0.10141,21.353806923613696,44.36458310645318,0.76642765191981,1.7260059548893831,100000
0.1,domestic_030,30% domestic equity,1.0681224270818674,1.2810936969461315,0.10213,21.227371532267675,44.02836990727808,0.7643758604154167,1.7195367753072164,100000
0.1,domestic_040,40% domestic equity,1.0560760098498438,1.2608626429501169,0.11033,20.98274645652292,43.1037785348119,0.7555104107005359,1.7106623498661802,100000
0.1,domestic_050,50% domestic equity,1.0362230145330744,1.2286937227965722,0.1235,20.664715471931018,41.5001708198008,0.741035896982852,1.6996610769047817,100000
0.1,domestic_060,60% domestic equity,1.0113472444264284,1.1890635578319653,0.13996,20.227647036071218,38.888515382564165,0.7235155869701985,1.6867095371421095,100000
0.1,domestic_070,70% domestic equity,0.9839376385178794,1.1462188395295883,0.15971,19.706062025492763,35.58845389658484,0.7034697387838507,1.672149054857403,100000
0.1,domestic_080,80% domestic equity,0.9559082715727975,1.1031343931202648,0.18007,19.08389202027803,31.726169871684718,0.6815454655301239,1.6560382439747248,100000
0.1,domestic_090,90% domestic equity,0.9277276199243051,1.0611498656160434,0.20528,18.343701817047098,27.087931712347192,0.659955752003997,1.6379607211860778,100000
0.1,domestic_100,100% domestic equity,0.9000504394236145,1.0212245801493613,0.23337,17.525106220217125,22.42318061560573,0.638691038963054,1.617329640575911,100000
0.15,balanced_all_equity,50/50 Domestic/International Equity,1.0446691144244142,1.24230740199743,0.11921,21.13060533629863,44.29752146851802,0.746975049792003,1.7249638289059783,100000
0.15,domestic_equity,100% Domestic Equity,0.90933824980233,1.0353568919991012,0.22448,18.298212576782497,25.892808821224715,0.6451815350842096,1.666443144815136,100000
0.15,international_equity,100% International Equity,1.0469930412547468,1.2543883052114682,0.12122,21.226082774301712,42.796109565028544,0.7529089180806426,1.731495329536707,100000
0.15,sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.8884102723942647,0.9893181106377753,0.21957,14.367589730874116,13.544690480328459,0.6341407456797502,1.3476395083481663,100000
0.15,target_date_fund,Target-Date Fund (glide path),0.9467852411347392,1.0585795847761046,0.21863,16.658001940877114,9.780039047647346,0.6854645626310379,1.4355027390039352,100000
0.15,bills_only,100% Bills (cash),0.738999359783288,0.7664522001573014,0.56357,6.395067469984038,0.0,0.5405300135722927,0.908272012393883,100000
0.15,domestic_000,0% domestic equity,1.0469930412547468,1.2543883052114682,0.12122,21.226082774301712,42.796109565028544,0.7529089180806426,1.731495329536707,100000
0.15,domestic_010,10% domestic equity,1.065200051369936,1.280567853649331,0.10625,21.42637155839529,44.68589301634708,0.7652475043841301,1.7349867939899222,100000
0.15,domestic_020,20% domestic equity,1.0745541088731556,1.2932605442192595,0.09935,21.53731443065733,45.54302995853132,0.7687874903505865,1.736123404339425,100000
0.15,domestic_030,30% domestic equity,1.0738565712951986,1.290571608975539,0.09942,21.5145023950624,45.81666679617687,0.7681753351723186,1.734713819503459,100000
0.15,domestic_040,40% domestic equity,1.0633470769968207,1.2727790875429386,0.10654,21.35802329612471,45.42505386231944,0.7606089277611677,1.7309144298858463,100000
0.15,domestic_050,50% domestic equity,1.0446691144244142,1.24230740199743,0.11921,21.13060533629863,44.29752146851802,0.746975049792003,1.7249638289059783,100000
0.15,domestic_060,60% domestic equity,1.0204487024858109,1.2036010709872125,0.13447,20.77813096654844,42.110748204241034,0.7296039302395505,1.7169990626763856,100000
0.15,domestic_070,70% domestic equity,0.9934724374332337,1.161108296966236,0.15326,20.323393286339737,39.07664572696817,0.710085161797699,1.7073578211148863,100000
0.15,domestic_080,80% domestic equity,0.9654698976157878,1.1179905075369054,0.17302,19.768372523843865,35.30922689041476,0.6880606154074324,1.6959851731507358,100000
0.15,domestic_090,90% domestic equity,0.9372502701979264,1.0757219123611055,0.19718,19.091592997685936,30.729311318173092,0.6661284745141192,1.682590440524467,100000
0.15,domestic_100,100% domestic equity,0.90933824980233,1.0353568919991012,0.22448,18.298212576782497,25.892808821224715,0.6451815350842096,1.666443144815136,100000
0.2143,balanced_all_equity,50/50 Domestic/International Equity,1.055628133617584,1.2601315562596274,0.11351,21.74400572760897,48.20433854672124,0.7544663206985451,1.7584899897410484,100000
0.2143,domestic_equity,100% Domestic Equity,0.9214924138218765,1.0538567547479751,0.21309,19.365194184697458,31.009736336243932,0.6525855581102307,1.733728412814145,100000
0.2143,international_equity,100% International Equity,1.0469930412547468,1.2543883052114682,0.12122,21.226082774301712,42.796109565028544,0.7529089180806426,1.731495329536707,100000
0.2143,sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.8961965127591159,1.0009022705702688,0.21113,14.842114049981046,15.206715454999456,0.639257610731446,1.373188822534903,100000
0.2143,target_date_fund,Target-Date Fund (glide path),0.9535919209976963,1.0685478836281397,0.214,17.078699123556376,10.424988066736386,0.6906542275149135,1.4567437030024255,100000
0.2143,bills_only,100% Bills (cash),0.738999359783288,0.7664522001573014,0.56357,6.395067469984038,0.0,0.5405300135722927,0.908272012393883,100000
0.2143,domestic_000,0% domestic equity,1.0469930412547468,1.2543883052114682,0.12122,21.226082774301712,42.796109565028544,0.7529089180806426,1.731495329536707,100000
0.2143,domestic_010,10% domestic equity,1.0676998342396637,1.2847085755901246,0.10504,21.548469383508046,45.47704349457288,0.7668137611027958,1.7415307214431615,100000
0.2143,domestic_020,20% domestic equity,1.0796001966389006,1.3016577926015516,0.09659,21.78323116855468,47.12903939778235,0.7722364722477617,1.7492826674930935,100000
0.2143,domestic_030,30% domestic equity,1.0812183679582996,1.3029109135593806,0.09625,21.876935055127234,48.18549933595925,0.7730854466090595,1.754567688672037,100000
0.2143,domestic_040,40% domestic equity,1.0727797926590097,1.2883339427149096,0.10227,21.84781197985876,48.68053117787586,0.7667791556435405,1.7575676731848686,100000
0.2143,domestic_050,50% domestic equity,1.055628133617584,1.2601315562596274,0.11351,21.74400572760897,48.20433854672124,0.7544663206985451,1.7584899897410484,100000
0.2143,domestic_060,60% domestic equity,1.0323546349057204,1.2226647792915313,0.12791,21.5133982503963,46.58263468453884,0.7377902758933097,1.7573515256523304,100000
0.2143,domestic_070,70% domestic equity,1.0058328572925743,1.180635089920328,0.1452,21.150751233461378,44.02837553303215,0.7183662308033406,1.7545806181389976,100000
0.2143,domestic_080,80% domestic equity,0.9779577126662641,1.1374630608661322,0.16441,20.700624302937065,40.46771319178673,0.6964939578501046,1.7499987762962455,100000
0.2143,domestic_090,90% domestic equity,0.9497267144000481,1.094837305698109,0.1863,20.088859753330354,36.02846456573944,0.6745476131332258,1.7432624113014774,100000
0.2143,domestic_100,100% domestic equity,0.9214924138218765,1.0538567547479751,0.21309,19.365194184697458,31.009736336243932,0.6525855581102307,1.733728412814145,100000
0.25,balanced_all_equity,50/50 Domestic/International Equity,1.061826546883214,1.27018403267617,0.1104,22.08970560056644,50.481615972318494,0.7590105091401997,1.7776001410785085,100000
0.25,domestic_equity,100% Domestic Equity,0.9283495795402601,1.0642824821611323,0.20712,19.985551807482032,34.17087142677624,0.6574030646191358,1.7732320921412492,100000
0.25,international_equity,100% International Equity,1.0469930412547468,1.2543883052114682,0.12122,21.226082774301712,42.796109565028544,0.7529089180806426,1.731495329536707,100000
0.25,sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.90055577347596,1.0074169740126118,0.20627,15.109813795750306,16.200067471253902,0.641925845764436,1.3878100238541127,100000
0.25,target_date_fund,Target-Date Fund (glide path),0.9574011521506378,1.0741482767193107,0.21121,17.318951352049197,10.802672709021707,0.6933419725592722,1.4688329531612594,100000
0.25,bills_only,100% Bills (cash),0.738999359783288,0.7664522001573014,0.56357,6.395067469984038,0.0,0.5405300135722927,0.908272012393883,100000
0.25,domestic_000,0% domestic equity,1.0469930412547468,1.2543883052114682,0.12122,21.226082774301712,42.796109565028544,0.7529089180806426,1.731495329536707,100000
0.25,domestic_010,10% domestic equity,1.069083626366922,1.2870164387474836,0.10441,21.618070716063258,45.88513826108265,0.7678637652223468,1.7451818689825507,100000
0.25,domestic_020,20% domestic equity,1.0823992295998286,1.3063547516663636,0.09528,21.918907992001436,47.99861509608159,0.7742641807411562,1.7566598360364707,100000
0.25,domestic_030,30% domestic equity,1.0853480372048163,1.3098342057377035,0.09412,22.08265406668471,49.53308430623082,0.7760434252756703,1.7657634067754016,100000
0.25,domestic_040,40% domestic equity,1.0780659659171679,1.2970834723918758,0.10004,22.127453154790807,50.54791031953995,0.770294523673594,1.7726728518381243,100000
0.25,domestic_050,50% domestic equity,1.061826546883214,1.27018403267617,0.1104,22.08970560056644,50.481615972318494,0.7590105091401997,1.7776001410785085,100000
