rule,rate,can_deplete,strategy,cec,prob_ruin,mean_retirement_consumption,n_paths
vanguard_dynamic,0.05,True,retdom_domestic_090,1.0141115975302648,0.2576,2.182004467133187,20000
vanguard_dynamic,0.05,True,retdom_domestic_100,0.9879212109217665,0.2959,2.1456834824233986,20000
guyton_klinger,0.07,True,equity_000,0.7852408168524353,0.1827,1.0207710785584263,20000
guyton_klinger,0.07,True,equity_010,0.8168371209883688,0.10785,1.084434250501086,20000
guyton_klinger,0.07,True,equity_020,0.8519956041576069,0.0635,1.158691598456011,20000
guyton_klinger,0.07,True,equity_030,0.8909711373191627,0.04375,1.2467574704338225,20000
guyton_klinger,0.07,True,equity_040,0.9322032670118539,0.02955,1.3497140681961883,20000
guyton_klinger,0.07,True,equity_050,0.9767566332566378,0.02665,1.4729974968625215,20000
guyton_klinger,0.07,True,equity_060,1.0228616707629907,0.02475,1.6190649394840881,20000
guyton_klinger,0.07,True,equity_070,1.0699232169101027,0.02345,1.7910106537638164,20000
guyton_klinger,0.07,True,equity_080,1.1148799061350407,0.02625,1.9935995121289953,20000
guyton_klinger,0.07,True,equity_090,1.1568368897893004,0.0329,2.2285841573720626,20000
guyton_klinger,0.07,True,equity_100,1.1910834353702913,0.04,2.500636564701828,20000
guyton_klinger,0.07,True,domestic_000,1.2778895083215873,0.04185,2.9046135328223897,20000
guyton_klinger,0.07,True,domestic_010,1.2887525858239226,0.0376,2.8202749171285264,20000
guyton_klinger,0.07,True,domestic_020,1.2857794886430005,0.03425,2.739459683717786,20000
guyton_klinger,0.07,True,domestic_030,1.2663215523728804,0.0344,2.6571500161412716,20000
guyton_klinger,0.07,True,domestic_040,1.2344664869647215,0.0363,2.5805922126942296,20000
guyton_klinger,0.07,True,domestic_050,1.1910834353702913,0.04,2.500636564701828,20000
guyton_klinger,0.07,True,domestic_060,1.1434228895231286,0.0537,2.4222044087941694,20000
guyton_klinger,0.07,True,domestic_070,1.0919840058568264,0.0731,2.3456700923569094,20000
guyton_klinger,0.07,True,domestic_080,1.0434497793433395,0.10065,2.27085201339348,20000
guyton_klinger,0.07,True,domestic_090,0.9970490962838767,0.13915,2.1951104604101808,20000
guyton_klinger,0.07,True,domestic_100,0.9545575282616924,0.1776,2.1208515663748324,20000
guyton_klinger,0.07,True,reteq_equity_000,1.0009706668969702,0.18135,1.7751226164788656,20000
guyton_klinger,0.07,True,reteq_equity_010,1.0270271773628754,0.1073,1.830481322229257,20000
guyton_klinger,0.07,True,reteq_equity_020,1.0522120556141743,0.06315,1.8872772655172634,20000
guyton_klinger,0.07,True,reteq_equity_030,1.0767236095779407,0.04395,1.9478751620759978,20000
guyton_klinger,0.07,True,reteq_equity_040,1.0984417684097036,0.02975,2.0105827058070425,20000
guyton_klinger,0.07,True,reteq_equity_050,1.1201422330199389,0.027,2.0808093672023906,20000
guyton_klinger,0.07,True,reteq_equity_060,1.1396755053929546,0.0251,2.156903450316397,20000
guyton_klinger,0.07,True,reteq_equity_070,1.158172731994824,0.0235,2.237565202251713,20000
guyton_klinger,0.07,True,reteq_equity_080,1.172633675568003,0.0264,2.323472455660871,20000
guyton_klinger,0.07,True,reteq_equity_090,1.1845818758505027,0.0328,2.411119434145249,20000
guyton_klinger,0.07,True,reteq_equity_100,1.1910834353702913,0.04,2.500636564701828,20000
guyton_klinger,0.07,True,retdom_domestic_000,1.2230909776724785,0.04165,2.604316462640044,20000
guyton_klinger,0.07,True,retdom_domestic_010,1.2251086974997625,0.03715,2.589944994419667,20000
guyton_klinger,0.07,True,retdom_domestic_020,1.2230749165205281,0.03425,2.573196266067744,20000
guyton_klinger,0.07,True,retdom_domestic_030,1.216273854067035,0.0342,2.549700084994326,20000
guyton_klinger,0.07,True,retdom_domestic_040,1.206347698508043,0.0362,2.5284531167906943,20000
guyton_klinger,0.07,True,retdom_domestic_050,1.1910834353702913,0.04,2.500636564701828,20000
guyton_klinger,0.07,True,retdom_domestic_060,1.1731641857175388,0.0536,2.4716899665011987,20000
guyton_klinger,0.07,True,retdom_domestic_070,1.1488882385684014,0.07315,2.4423966243670914,20000
guyton_klinger,0.07,True,retdom_domestic_080,1.1227453469531654,0.10075,2.4126574387446875,20000
guyton_klinger,0.07,True,retdom_domestic_090,1.0931440985661167,0.13925,2.379727337098674,20000
guyton_klinger,0.07,True,retdom_domestic_100,1.0628265297511903,0.17745,2.34563438054144,20000
endowment,0.06,True,equity_000,0.7744387652684036,0.05105,0.9913337097597444,20000
endowment,0.06,True,equity_010,0.8052433659163488,0.0418,1.0526072480350859,20000
endowment,0.06,True,equity_020,0.8399818302202049,0.0334,1.125772489188633,20000
endowment,0.06,True,equity_030,0.878573948517657,0.01975,1.213064909719002,20000
endowment,0.06,True,equity_040,0.9206186095623597,0.01545,1.3171016840196437,20000
endowment,0.06,True,equity_050,0.9656098540917991,0.01295,1.440977680858891,20000
endowment,0.06,True,equity_060,1.0127549865324763,0.00585,1.5882896476983006,20000
endowment,0.06,True,equity_070,1.0607206591478866,0.0043,1.7632342485759618,20000
endowment,0.06,True,equity_080,1.1082376654400365,0.003,1.9707724329777698,20000
endowment,0.06,True,equity_090,1.153410412572572,0.0025,2.216699827722511,20000
endowment,0.06,True,equity_100,1.1941275411609606,0.0022,2.5078304856286073,20000
endowment,0.06,True,domestic_000,1.2858730914084684,0.0042,2.9374275358662594,20000
endowment,0.06,True,domestic_010,1.2993426936267753,0.00295,2.8411866114396855,20000
endowment,0.06,True,domestic_020,1.2960459641760342,0.00265,2.751646521514365,20000
endowment,0.06,True,domestic_030,1.2758539251998045,0.0023,2.6670767490912435,20000
endowment,0.06,True,domestic_040,1.2404265708036846,0.00175,2.586138589298314,20000
endowment,0.06,True,domestic_050,1.1941275411609606,0.0022,2.5078304856286073,20000
endowment,0.06,True,domestic_060,1.1429089146434688,0.0026,2.4314791172468255,20000
endowment,0.06,True,domestic_070,1.0913087280259897,0.0061,2.3566856844415853,20000
endowment,0.06,True,domestic_080,1.0420511609790941,0.0142,2.283254662631545,20000
endowment,0.06,True,domestic_090,0.9961498979845838,0.0266,2.21118318529207,20000
endowment,0.06,True,domestic_100,0.9539244093612347,0.03475,2.140687094433783,20000
endowment,0.06,True,reteq_equity_000,0.9801225602990428,0.05105,1.6840542733641188,20000
