withdrawal_rate,strategy,label,cec_crra_gamma2,cec_crra_gamma5,cec_crra_gamma10,cec_ez_gamma2_psi1.5,cec_ez_gamma5_psi1.5,cec_ez_gamma10_psi1.5,prob_ruin,median_wealth_at_retirement,mean_wealth_at_retirement,median_bequest,mean_bequest,p5_bequest,prob_zero_bequest,median_retirement_consumption,mean_retirement_consumption,p1_wealth_at_retirement,p1_bequest,p1_retirement_consumption,p5_wealth_at_retirement,p5_retirement_consumption,p10_wealth_at_retirement,p10_bequest,p10_retirement_consumption,p25_wealth_at_retirement,p25_bequest,p25_retirement_consumption,p50_wealth_at_retirement,p50_bequest,p50_retirement_consumption,p75_wealth_at_retirement,p75_bequest,p75_retirement_consumption,p90_wealth_at_retirement,p90_bequest,p90_retirement_consumption,p95_wealth_at_retirement,p95_bequest,p95_retirement_consumption,p99_wealth_at_retirement,p99_bequest,p99_retirement_consumption,mean_consumption_target,mean_consumption_shortfall,prob_consumption_below_target,median_consumption_replacement_ratio,p5_consumption_replacement_ratio
0.015,target_date_fund,Target-Date Fund (glide path),0.8983010586472964,0.7692348445327702,0.649115523136413,1.068851787394646,0.9024021293965468,0.738420217576253,0.0213,15.987709960224779,21.077555601567862,30.868231573668666,68.77059999011853,1.7019457232116493,0.02306,0.9016896235598193,0.9748618766196855,2.3312296940432082,0.0,0.4705653250831818,4.416982201636415,0.5546022596210094,6.0724503600891255,4.359676630192533,0.6097208401653856,9.832887571360288,12.825339969785901,0.7263922203945339,15.987709960224779,30.868231573668666,0.9016896235598193,25.454941430027052,66.88878760230098,1.128326869921682,39.647699178258534,135.31955278747972,1.3988547808357055,53.2156546345036,220.4237360921574,1.6201085386845846,102.07778187507458,705.1434562518464,2.311504287218251,1.075741161498871,0.1678501691055044,0.7027,0.8912967250859212,0.6540854926054751
0.015,bills_only,100% Bills (cash),0.7339017933070549,0.6556573422454329,0.5744613577732136,0.7822188484241452,0.7061464541091251,0.6165204161848927,0.05994,6.285229027846699,7.12501760709177,4.399622680691347,6.6127040583178545,0.0,0.0656,0.7339210034016111,0.7652111320011841,0.9528913820491977,0.0,0.42390376885697956,2.006425612439432,0.4853132070802552,2.7572160318083108,0.28931407837465756,0.5270056360063279,4.216834026940628,1.7627218157071871,0.6104258712295043,6.285229027846699,4.399622680691347,0.7339210034016111,9.050193412633572,8.564444951452657,0.8984844080115703,12.458337196904633,14.8989367192221,1.0383587274694457,14.940992285889086,20.77479015526403,1.1267554854059927,21.29096577817797,37.93867035202325,1.3362268982836756,1.075741161498871,0.3108371344437067,0.98682,0.7440098456244153,0.5767426122418657
0.02,balanced_all_equity,50/50 Domestic/International Equity,1.056916239478289,0.8642394390105764,0.702447117442827,1.3431956421617122,1.057270422990846,0.8166880534361848,0.01938,20.07978708978618,28.077218070225502,73.10747664381928,250.27637987674385,3.1996045429182245,0.02098,1.0662755409222382,1.2196770295905572,2.6873696789212733,0.0,0.5035133841570827,5.0659178183957945,0.6075477067684217,7.035498552549397,8.696077384976148,0.6796652392753033,11.766029836601142,27.055375694506893,0.8317539324004624,20.07978708978618,73.10747664381928,1.0662755409222382,33.55369986712904,180.1791921353992,1.4003022448947569,54.466807838331654,408.14311828623926,1.8637075057523997,75.29848608855988,689.7768840399942,2.297890041710372,149.3909725228749,3430.0191574152313,3.728060407717215,1.075741161498871,0.09336836502132141,0.43204,1.0489331121951322,0.7123490701098755
0.02,domestic_equity,100% Domestic Equity,0.969914864679566,0.789437665279239,0.6469145709312398,1.1539262845225275,0.9048181891303431,0.7161530744287411,0.08232,15.108063489633508,34.79101091688022,34.00491888401187,2763.4842416868573,0.0,0.08732,0.9685134133832012,1.3467760365083996,1.0778279668581936,0.0,0.46260280765422845,2.77330293997912,0.5539188760885801,4.265057818531017,0.33493055909616865,0.614807293172574,8.018693736533397,7.606055902416936,0.7528251722337852,15.108063489633508,34.00491888401187,0.9685134133832012,28.356738937573702,111.86095983705667,1.2882918501938994,52.16465545939455,321.27902036754216,1.7993266442789773,80.78125090733201,670.0772383438411,2.38130069859411,448.91265266005485,46171.464188839906,9.63810758418288,1.075741161498871,0.13993342157028002,0.5682,0.9485490357273567,0.6552409856533408
0.02,international_equity,100% International Equity,1.1040627731765391,0.895439877814677,0.7180351536528615,1.4454676868752303,1.119311893802069,0.8399272659558604,0.01912,23.035540431490276,30.15229022351887,103.73966064158122,208.77696198367894,4.281968292589425,0.02064,1.1237439319317488,1.2609226559148776,2.7501892646303143,0.0,0.5138865654996909,5.686238170261025,0.6268984780164806,7.988652904866822,12.741167253136346,0.7030140500211696,13.66677526047373,41.148193539035375,0.8704645908792685,23.035540431490276,103.73966064158122,1.1237439319317488,37.837935050006806,233.22130292099803,1.479663505933628,59.073372819766924,476.18674615392297,1.9533338537479872,78.21159458990947,736.7356051532706,2.352755770103315,131.10497507722405,1683.115060862301,3.4435029130911547,1.075741161498871,0.07749781674399456,0.3639,1.1069937935209724,0.7294570465610873
0.02,sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.9235382645839109,0.777315482221316,0.6475653801785074,1.081426416570985,0.8901820982434009,0.7198203157692606,0.05796,13.276144452025072,19.655086165845848,26.406572519789727,189.65770288634113,0.0,0.06164,0.9265926301801165,1.0485511113327637,1.4513477131512074,0.0,0.46667900686007174,3.2012814697090786,0.5536343003247385,4.599342107070248,1.3226714978635667,0.611649456910072,7.8819976150358775,8.469652972950879,0.7361580021369799,13.276144452025072,26.406572519789727,0.9265926301801165,21.91881417228435,66.9175016799814,1.1798802786098455,35.7753962264165,160.49949123445785,1.5147379989120306,50.93902099983887,305.0659332714054,1.8392513624872606,142.21569584197516,4952.065417468645,3.5418837617550567,1.075741161498871,0.15262825310889536,0.64776,0.9139550559881835,0.6602886995299411
0.02,target_date_fund,Target-Date Fund (glide path),0.972255846144109,0.817489582049752,0.6763189201599045,1.131355185931043,0.938851506748148,0.7567967163817638,0.03866,15.987709960224779,21.077555601567862,26.508318503862284,61.85718786000279,0.45714951570145224,0.0418,0.9809340812360143,1.0780995697206033,2.3312296940432082,0.0,0.48751768999558787,4.416982201636415,0.5819637550622011,6.0724503600891255,2.8744776073226355,0.6447458142882829,9.832887571360288,10.237430033656508,0.7786406261527654,15.987709960224779,26.508318503862284,0.9809340812360143,25.454941430027052,59.48868193006754,1.248355792167657,39.647699178258534,122.48137369479386,1.586999619366034,53.2156546345036,202.04320001083718,1.873530434149711,102.07778187507458,653.4456380533189,2.802596178939244,1.075741161498871,0.12235894094090088,0.55716,0.967584801623218,0.6889205445926172
0.02,bills_only,100% Bills (cash),0.7620376688950515,0.6779846503574165,0.5897261501713315,0.8025134261119495,0.7212047562490699,0.6264578596446074,0.09708,6.285229027846699,7.12501760709177,3.3350532164589035,5.3629363209946375,0.0,0.10788,0.7646499811688056,0.7991502737177502,0.9528913820491977,0.0,0.4340447312419219,2.006425612439432,0.49862110215321015,2.7572160318083108,0.0,0.5432192764139037,4.216834026940628,1.103307203528287,0.6323413671621568,6.285229027846699,3.3350532164589035,0.7646499811688056,9.050193412633572,6.959012456461974,0.9393388409156334,12.458337196904633,12.534740469299342,1.0957430962476618,14.940992285889086,17.76313577603238,1.1956306231598601,21.29096577817797,33.32698234927484,1.4322317872222357,1.075741161498871,0.27753962556970874,0.97046,0.7742839987824691,0.6012442385851957
0.025,balanced_all_equity,50/50 Domestic/International Equity,1.143690612426244,0.9139005142880484,0.7263869775818234,1.4170197230035926,1.0933109164753818,0.8321469016659139,0.0349,20.07978708978618,28.077218070225502,64.08517517941843,231.6118510563355,1.099284173168476,0.03772,1.1628333578129042,1.3567519420504675,2.6873696789212733,0.0,0.5187418374830949,5.0659178183957945,0.6346535443245562,7.035498552549397,5.753712107364868,0.7172153119111863,11.766029836601142,22.058101488261208,0.8908054364967475,20.07978708978618,64.08517517941843,1.1628333578129042,33.55369986712904,162.81932780395078,1.5623809757268567,54.466807838331654,375.65283351054245,2.1289084845929276,75.29848608855988,641.2028823558696,2.663068638943661,149.3909725228749,3235.7695740812865,4.4659153878613,1.075741161498871,0.06768522820572746,0.32864,1.1446321135641024,0.7433739759293772
0.025,domestic_equity,100% Domestic Equity,1.029969229548566,0.8196241314836614,0.6592663427353281,1.201057100227337,0.9254280380875461,0.7248861697670503,0.11974,15.108063489633508,34.79101091688022,28.336174922248418,2659.396904717815,0.0,0.12692,1.0355759687031172,1.510587398541653,1.0778279668581936,0.0,0.4681419220524571,2.77330293997912,0.5663529795820383,4.265057818531017,0.0,0.6342204808739307,8.018693736533397,5.09989031015916,0.7894756672329466,15.108063489633508,28.336174922248418,1.0355759687031172,28.356738937573702,99.4934908294122,1.4165619804976153,52.16465545939455,293.0700500813787,2.043536550664218,80.78125090733201,616.5688645508063,2.766555442890798,448.91265266005485,43841.87885078928,11.784353859548597,1.075741161498871,0.11400605317271671,0.48264,1.0147513745021204,0.6736095299538288
