variant,label,strategy,cec_gamma2,cec_nobequest_gamma2,cec_gamma5,cec_nobequest_gamma5,cec_gamma10,cec_nobequest_gamma10,prob_ruin,median_bequest,p5_bequest,median_retirement_consumption,p5_retirement_consumption,consumption_volatility,median_worst_spending_cut,p90_worst_spending_cut,median_total_real_spending,median_first_year_spending,median_final_year_spending
Endowment smoothing (light smoothing),100% Domestic Equity,domestic_equity,1.3531921150888915,1.323528526712338,0.9315403764056515,0.9242979952194547,0.6989380693986418,0.6964025556818181,0.0,6.088367552493018,0.21317751600737883,1.3985690449311066,0.6026512965501895,0.23894284371869795,0.4657471767848774,0.694093439145179,43.72170221443332,1.726252537039335,1.1314600872539609
Endowment smoothing (light smoothing),100% International Equity,international_equity,1.8564143284551056,1.808254100867925,1.194929179852483,1.1853712025905565,0.8200447601528366,0.8170673807142453,0.0,16.65438234590824,1.4013735432616976,2.069466995640637,0.7793231293486497,0.2292385403088967,0.4537442413861089,0.6586339100379793,64.12978465752526,2.2739785570613904,1.851740405617829
Endowment smoothing (light smoothing),60/40 Domestic Equity/Domestic Bonds,sixty_forty,1.2558332760645243,1.2279637877686596,0.9251551634793946,0.9178923186786863,0.7057856390650575,0.7032244004504111,0.0,4.699760464048954,0.28885979129709327,1.2635902449532255,0.6053626485322472,0.18508686031131172,0.4061246773524064,0.5969452560163758,38.8557625348262,1.5896044479068365,1.0246892322701373
Endowment smoothing (light smoothing),Target-Date Fund (glide path),target_date_fund,1.336768319625062,1.3068781159376026,0.9847446947569419,0.9769524579809824,0.7411084127497616,0.7384182415478797,0.0,4.778298601091587,0.517293763930116,1.3414061734247515,0.6393181961227025,0.18686356407896476,0.4299896982054703,0.6118731840443262,41.28371428971003,1.7814611772102578,1.0319868769275424
Endowment smoothing (light smoothing),100% Bills (cash),bills_only,0.8549518437761434,0.8405349132206039,0.734856064164316,0.7292001691295401,0.616008837929712,0.6137737230598119,0.0,0.8030750359196916,0.06749899664092956,0.8370764356356741,0.5112047779602982,0.13285958609399423,0.341035342843681,0.4511176430887485,25.507909563791614,1.0845878031937888,0.7126053550108644
Constant % of portfolio,50/50 Domestic/International Equity,balanced_all_equity,1.67407157071972,1.6314157148827169,1.122538835783224,1.1135443880951272,0.8014901055233941,0.7985800536440126,0.0,12.423849799186293,1.25184027347241,1.8000423624124084,0.7272391710645263,0.22517727946137114,0.4802887441866711,0.6635595100740272,55.86418884971013,2.066972167629684,1.5496773336712701
Constant % of portfolio,100% Domestic Equity,domestic_equity,1.352532477398489,1.3222997049877392,0.9312414275497419,0.9239663632855042,0.6991589037151599,0.6966222107313451,0.0,6.445830317104415,0.2522122332646722,1.398585066655672,0.6035222700716653,0.24223762712676777,0.49291662282286053,0.7108419222204868,43.83403448862154,1.726252537039335,1.144049810999184
Constant % of portfolio,100% International Equity,international_equity,1.8558875295375445,1.8072943663399792,1.1947827007328307,1.185202376811202,0.8207896316468614,0.8178093360739415,0.0,17.115915605186444,1.5283094385348321,2.071034085290697,0.7802835072000998,0.23467927737649086,0.4853621351596118,0.6736263158586665,64.40414135591335,2.2739785570613904,1.8729073339361182
Constant % of portfolio,60/40 Domestic Equity/Domestic Bonds,sixty_forty,1.254597461360999,1.2263141241636673,0.9248189874484868,0.9175307137904417,0.7061182827189025,0.7035555147534371,0.0,4.907963261263111,0.3322159851140157,1.2627419307650394,0.6062017762426153,0.18519227521839388,0.419056047159587,0.6048978678553724,38.841404195376796,1.5896044479068365,1.0313573349496985
Constant % of portfolio,Target-Date Fund (glide path),target_date_fund,1.335019504560171,1.3046852015128734,0.9846998166105627,0.9768810707696454,0.7419367975192681,0.7392433489759607,0.0,4.994023546585896,0.5733906263112774,1.3397622423559719,0.6403747250977126,0.18477781283663608,0.43501969037060695,0.613679384900145,41.232311402652854,1.7814611772102578,1.0386761324616396
Constant % of portfolio,100% Bills (cash),bills_only,0.8534889619719062,0.8387387405298413,0.7341116915928108,0.7284358949719671,0.6159008709501621,0.6136658864832104,0.0,0.8605708857280567,0.08003999532275859,0.8360954255887537,0.511407351468237,0.12949463075079493,0.33963725506073206,0.44979578691938327,25.45969115041921,1.0845878031937888,0.7147450632535446
Life expectancy / RMD,50/50 Domestic/International Equity,balanced_all_equity,1.6388905708701775,1.674506814493489,1.1203056519032069,1.1257344141031513,0.8165768194752543,0.8140823761780054,0.0,0.0,0.0,2.096029191315225,0.7823377352914477,0.41645929475410914,0.31804095923469344,0.48385500591926117,74.22207278580944,1.3332893770185765,4.100745842145093
Life expectancy / RMD,100% Domestic Equity,domestic_equity,1.3359807782066315,1.3510932136877165,0.9386536662964999,0.9369140276950874,0.7087960377855501,0.7063357880640573,0.0,0.0,0.0,1.5744787526015722,0.6370147559017804,0.36151632077633067,0.33137562740976545,0.560488143233901,53.475013320439984,1.175859138324732,2.4707774021131534
Life expectancy / RMD,100% International Equity,international_equity,1.7987349217871254,1.8478719935144665,1.1801396196934812,1.1895542946500792,0.8340538860463549,0.8316075365766445,0.0,0.0,0.0,2.4430917164538215,0.8328624369652867,0.45911215738948113,0.3323659681127839,0.46989415499313053,89.28136831716472,1.4298530325253906,5.38511746322947
Life expectancy / RMD,60/40 Domestic Equity/Domestic Bonds,sixty_forty,1.2475413983586487,1.2579078802459307,0.9361670575989782,0.9343687886797784,0.7191661296504455,0.7166860883239532,0.0,0.0,0.0,1.417863034288007,0.6443061971384073,0.2784931694080397,0.20564757352705837,0.3952856877905747,45.96761454798836,1.1079909818166709,2.04509764127101
Life expectancy / RMD,Target-Date Fund (glide path),target_date_fund,1.3322564655624622,1.3471578508098851,1.0075907501419465,1.007848455235318,0.7663209799509444,0.76378705824551,0.0,0.0,0.0,1.5264818401414944,0.6983643890343829,0.23240771141011468,0.13753254475745413,0.33021150156582374,48.591770316023094,1.1976883540419099,2.0862016040063343
Life expectancy / RMD,100% Bills (cash),bills_only,0.8472390711351373,0.8429521064475876,0.7433624700541404,0.7391257981734735,0.6280155925866333,0.6257685551193264,0.0,0.0,0.0,0.8801794011129549,0.5361363792565875,0.06188846006738903,0.06957748863184643,0.18640625215053627,26.564690814462672,0.8533397865055525,0.909190659586401
Guyton-Klinger guardrails (tight band),50/50 Domestic/International Equity,balanced_all_equity,1.654226313900131,1.6178085620220743,1.107203949689357,1.0993653829286123,0.7823012618102895,0.7794841262837999,0.06056,12.079545406052443,0.0,1.826660369837409,0.7241358424192397,0.20010651150953737,0.311592341898454,0.5955588093495292,56.20143738212424,1.9478464267132742,1.7552280827275277
Guyton-Klinger guardrails (tight band),100% Domestic Equity,domestic_equity,1.3381950223219854,1.316849006454101,0.9245149044063947,0.9183644883187465,0.6904545960217371,0.6879672494441393,0.1879,4.2481723402016875,0.0,1.4248295549369805,0.5982087557074593,0.21138025728845797,0.3247277291339084,0.6565782560502845,44.023883142583074,1.6343603679071466,1.2043041159973047
Guyton-Klinger guardrails (tight band),100% International Equity,international_equity,1.8141411328659494,1.772128407120096,1.1578534679933152,1.1496648034307368,0.784588800146806,0.7817607197036234,0.05488,18.081407233962366,0.0,2.083185659322735,0.7632025727007967,0.21446188223091703,0.3122685009231272,0.6031571051285076,64.33366556008122,2.1357700827166344,2.1319589391011586
Guyton-Klinger guardrails (tight band),60/40 Domestic Equity/Domestic Bonds,sixty_forty,1.2576590887636512,1.2332361554143612,0.9309707729680238,0.9241606476602776,0.7085926527371497,0.706031278180811,0.06698,4.039443230040605,0.0,1.2947628274694778,0.6145302991752088,0.15509273165760257,0.29579274513535064,0.53796946394914,39.43882700727204,1.5108234930945161,1.14149819984909
Guyton-Klinger guardrails (tight band),Target-Date Fund (glide path),target_date_fund,1.343672361571552,1.3158201126824862,0.9930785073552867,0.9854864588488138,0.7440848678039137,0.7413888379521094,0.01068,4.30686342794671,0.23119695800037696,1.37968844808494,0.6536021528999536,0.14582603649156975,0.3206902886398066,0.5400983134956313,42.02938237468403,1.684473241813608,1.1748239539788516
Guyton-Klinger guardrails (tight band),100% Bills (cash),bills_only,0.8580273081652732,0.8468633989655233,0.7422296066414462,0.7368968703306016,0.6224742596405324,0.6202214975184971,0.05216,0.35292499967683766,0.0,0.8536758295474838,0.5210527905473193,0.10222955124232083,0.2615436860513055,0.3919075762851457,25.82656504209025,1.0453790570881811,0.7611820287369644
Vanguard dynamic (ceiling/floor) (asymmetric),50/50 Domestic/International Equity,balanced_all_equity,1.5429334788993523,1.5076741594659573,1.0697770842400274,1.0624548284664956,0.7551594372353715,0.7524421994912356,0.10956,21.227414361143396,0.0,1.6670745249066918,0.701118659339125,0.13897021458724002,0.18740431053794449,0.5104770216433974,50.2233976744263,1.7674394498844324,1.5925873450550347
Vanguard dynamic (ceiling/floor) (asymmetric),100% Domestic Equity,domestic_equity,1.2662665489642109,1.243426478917775,0.8955567997588908,0.8894982776244948,0.6700521093535594,0.6676351554811593,0.241,7.833565068307712,0.0,1.3323739479100767,0.5785008312754858,0.15674949704084074,0.2225852204485646,0.5810617371128656,40.45886629425213,1.4998359046681886,1.1300989834216284
Vanguard dynamic (ceiling/floor) (asymmetric),100% International Equity,international_equity,1.6756897159825297,1.6354615569505877,1.1218154211934754,1.1141557132356155,0.763175627337392,0.7604277635206483,0.09376,31.92688840326354,0.0,1.8606169432343664,0.7411060104688384,0.13992326434949634,0.1702157971662654,0.4998810636230994,56.14954127079879,1.9291080993141105,1.8612777072367779
Vanguard dynamic (ceiling/floor) (asymmetric),60/40 Domestic Equity/Domestic Bonds,sixty_forty,1.2095679314558705,1.1850690228021046,0.9087786477393116,0.9023657364936117,0.6885172694243407,0.6860325305109095,0.17188,6.71907845814015,0.0,1.245533495393132,0.5989632274468684,0.12705963759574218,0.23003792997021416,0.4916670611380027,37.582510945003605,1.3931082865722513,1.0824019620974359
Vanguard dynamic (ceiling/floor) (asymmetric),Target-Date Fund (glide path),target_date_fund,1.3043147693726527,1.2775805383498142,0.9735901088251623,0.9667809654403439,0.7202684312711959,0.7176722825388276,0.1329,6.8522897788133434,0.0,1.3430741053726842,0.6407221590939146,0.13425031276438107,0.2783483092569497,0.5128132118671851,40.53378466429625,1.5426563212971698,1.1196137915182034
Vanguard dynamic (ceiling/floor) (asymmetric),100% Bills (cash),bills_only,0.8492495680799389,0.8358669465392984,0.7368978806650649,0.7315407644826207,0.6192997841782528,0.6170598792704381,0.26494,0.7807468233817291,0.0,0.8412647163635615,0.5166508580930615,0.09821526931005553,0.25389425602662313,0.37720734433277786,25.435427764527226,0.9907021710912359,0.7298126905154769
Constant real (4%-rule style),50/50 Domestic/International Equity,balanced_all_equity,1.4058806243345336,1.3769089141334492,1.002745662953094,0.9963462449727801,0.7185844354496709,0.716002556419441,0.20272,28.39330225587373,0.0,1.5071202413394622,0.6504664701252941,0.07610924187440694,0.0,0.5631926301184383,45.12540112522491,1.5649759097053648,1.3500225560834571
Constant real (4%-rule style),100% Domestic Equity,domestic_equity,1.188771096689814,1.1691355759433757,0.8629940543367943,0.8573585044015205,0.65381714077313,0.6514606262209759,0.34296,7.933451139615744,0.0,1.2414015784926469,0.5565075508176747,0.111528687321088,0.0,0.5959582376723572,37.59829717461501,1.3497847874169329,1.005179183072986
Constant real (4%-rule style),100% International Equity,international_equity,1.5076836338187414,1.4742954758461528,1.0473484082719704,1.0405854212836652,0.728540349262313,0.7259201777631596,0.16256,44.33850606190706,0.0,1.645555306976194,0.6842384212990088,0.06680751247514889,0.0,0.5452942873603402,49.25008424280818,1.6990134869645073,1.5120229540333434
Constant real (4%-rule style),60/40 Domestic Equity/Domestic Bonds,sixty_forty,1.1498196809420826,1.130099283386018,0.8788886542238603,0.8731728550676503,0.669338671258797,0.6669292103582386,0.3156,6.177411158945988,0.0,1.1973189929882322,0.5773104487961263,0.08457036619304274,0.0,0.5257406675005865,35.94709880321966,1.2626587364576243,1.0087954832801826
Constant real (4%-rule style),Target-Date Fund (glide path),target_date_fund,1.246158369781355,1.2267600350809629,0.9367347800159823,0.9310962762019539,0.6912373534824733,0.6887565655422053,0.31056,5.3730945287249146,0.0,1.3205108567466408,0.6065012102298297,0.0930675720069379,0.0,0.5708454093131162,39.45434702110484,1.3828339942872694,1.0946318816852076
Constant real (4%-rule style),100% Bills (cash),bills_only,0.8525416378514308,0.8452153170839793,0.7367956255624696,0.7321806198762651,0.6112614545882197,0.6090615513545707,0.7368,0.0,0.0,0.8593821193880438,0.507899894791064,0.11119649940934087,0.2618004608743853,0.39759365408510894,26.02851811463377,0.9274184070044772,0.6947188858949909
