iso,country,tier,series,n_years,first_year,last_year,mean,geometric_mean,std,min,max,skew,kurtosis,ar1,ar2
DEU,Germany,A,bill,124,1890,2020,-0.008286793986040776,-0.03296751776647348,0.13805775524584685,-0.9057231196039446,0.1806148759422781,-4.938616362954351,27.754514336659337,0.6484386162472469,0.43765591382769364
DEU,Germany,A,inflation,124,1890,2020,0.18518538439463925,0.07597714670081857,1.1284392866494115,-0.11029411752311291,10.237113438921778,7.913357169433203,64.11617163291574,0.48323877279678595,0.09403848412478316
DNK,Denmark,A,dom_eq,130,1890,2020,0.07463708929502662,0.060798846082358485,0.17220352266897207,-0.4978233293549206,0.6990560826054222,0.42560683052382003,1.8199537283289091,0.04336538616903645,-0.11242197484978665
DNK,Denmark,A,intl_eq,130,1890,2020,0.07590573402375182,0.06220795253525517,0.17251615210645033,-0.45840397786062337,0.7462350464791419,0.5192653381706169,1.88244543538916,0.07437306325275592,-0.1487208921078964
DNK,Denmark,A,bond,130,1890,2020,0.03203789495175699,0.026102890555827686,0.115514433004707,-0.2725194417578559,0.57679704239248,1.5134399816965638,5.216867413211332,0.07434121586396779,0.008893003011821577
DNK,Denmark,A,bill,130,1890,2020,0.025260745595358087,0.02381816832285999,0.0550318922281533,-0.15524261666006978,0.25079994745421574,0.732718588815124,5.350501321131169,0.5238241164550206,0.09447934123202535
DNK,Denmark,A,inflation,130,1890,2020,0.03351276968967223,0.03190889159929257,0.057888689910121964,-0.15094336136787012,0.24074085587026084,0.30706284917175386,2.922200066378857,0.5719360860383051,0.20281468151797133
ESP,Spain,A,dom_eq,115,1900,2020,0.061763404020529517,0.04164133916778432,0.2109661313451387,-0.42796701564158557,0.9601850443746038,0.7728592976187411,2.144565959625445,0.32310552330828496,0.10412651454196256
ESP,Spain,A,intl_eq,115,1900,2020,0.08644085321056215,0.06835369623838697,0.2059305170190793,-0.45867077803692013,0.9550096643396999,1.2456377749031393,4.377967113313271,0.008755042867350394,-0.04679619554798048
ESP,Spain,A,bond,115,1900,2020,0.01565317540370868,0.01060745938176948,0.10165802398563732,-0.2760972140139394,0.36681949351289167,0.3125615716405461,1.948712395665675,0.3624071620355209,0.32239249370929457
ESP,Spain,A,bill,115,1900,2020,-0.0006376057215766835,-0.0029414380867738253,0.06783843056440753,-0.2808138480967387,0.3154634761238715,0.19115863371201716,5.702187212703164,0.5742954959831883,0.3207859249100654
ESP,Spain,A,inflation,115,1900,2020,0.055992591569712265,0.05330953037868207,0.07714171540680147,-0.19420035759390408,0.45303131744492164,1.215456160092693,6.099456948341915,0.5924871572966833,0.3991811661093307
FIN,Finland,A,dom_eq,125,1896,2020,0.08906359231902697,0.04976412153741396,0.2999545953316314,-0.6076194234506442,1.6358294369449191,1.2148046571875628,5.156120861043654,0.17644136472252833,-0.1264484676510559
FIN,Finland,A,intl_eq,125,1896,2020,0.09196382453933141,0.06451943005159161,0.2808328431454609,-0.5534148694072005,2.317414434895107,4.076182188524127,31.844910119671038,-0.17024701532956943,-0.08651936852096352
FIN,Finland,A,bond,125,1896,2020,0.018675613503851506,0.0053801070202080204,0.15131593425055978,-0.6066550264580275,0.5661355044456715,-0.7011483326532935,5.087264359080944,0.3986954257196325,0.3124143466985506
FIN,Finland,A,bill,125,1896,2020,-0.007556556579261302,-0.01588650610960031,0.10705427739832137,-0.695382105238758,0.18430981679128178,-3.280271294915133,16.084937165818193,0.524013293207908,0.26251789638395084
