variant,age,p10,p50,p90
Guyton-Klinger guardrails (tight band),76,0.8571387194486001,1.7675852769956388,4.545852891549693
Guyton-Klinger guardrails (tight band),77,0.847701504803755,1.7536705490978952,4.602586061618313
Guyton-Klinger guardrails (tight band),78,0.8471519634030966,1.7707489848625046,4.726459742467847
Guyton-Klinger guardrails (tight band),79,0.8471519634030966,1.7853295932562863,4.824322570486411
Guyton-Klinger guardrails (tight band),80,0.846182259245885,1.7954958146260704,4.907419754213877
Guyton-Klinger guardrails (tight band),81,0.8447464345767247,1.8015450614238417,5.0071506253233835
Guyton-Klinger guardrails (tight band),82,0.8431524330535206,1.8099738032357295,5.102210570526624
Guyton-Klinger guardrails (tight band),83,0.8407900837669955,1.8177226289039905,5.196390057252683
Guyton-Klinger guardrails (tight band),84,0.8374126499996122,1.8198807927056788,5.266717248637078
Guyton-Klinger guardrails (tight band),85,0.8294288964276793,1.8185736490740672,5.376643680086044
Guyton-Klinger guardrails (tight band),86,0.8221946534030428,1.8201423028660795,5.472257524516898
Guyton-Klinger guardrails (tight band),87,0.8131286322899607,1.8191242112143535,5.5261795131195734
Guyton-Klinger guardrails (tight band),88,0.802647368531271,1.814536686478651,5.610964487256741
Guyton-Klinger guardrails (tight band),89,0.7890906432460317,1.8081419969763837,5.682296217965452
Guyton-Klinger guardrails (tight band),90,0.7722175748193637,1.7948881611423393,5.749628670211011
Guyton-Klinger guardrails (tight band),91,0.754253770958168,1.7788333738866207,5.834735533613339
Guyton-Klinger guardrails (tight band),92,0.7352415143200631,1.7552280827275277,5.892668305741048
Vanguard dynamic (ceiling/floor) (asymmetric),63,0.9540003085638412,1.7674394498844324,3.7619568183926058
Vanguard dynamic (ceiling/floor) (asymmetric),64,0.9497785669998825,1.7591972832283451,3.739553303369431
Vanguard dynamic (ceiling/floor) (asymmetric),65,0.9468237295373092,1.7510898136578943,3.71385659240001
Vanguard dynamic (ceiling/floor) (asymmetric),66,0.9427028258707828,1.7438812739938294,3.6976428501063614
Vanguard dynamic (ceiling/floor) (asymmetric),67,0.9400656420025455,1.7354874913950749,3.680372266763905
Vanguard dynamic (ceiling/floor) (asymmetric),68,0.9337278811573396,1.7260798395576982,3.663101315590699
Vanguard dynamic (ceiling/floor) (asymmetric),69,0.9290653358197221,1.7153691991897588,3.6515248472055606
Vanguard dynamic (ceiling/floor) (asymmetric),70,0.9229778821169092,1.7072184268145962,3.644028993711563
Vanguard dynamic (ceiling/floor) (asymmetric),71,0.9163284220211351,1.6977551436914577,3.6419107576550243
Vanguard dynamic (ceiling/floor) (asymmetric),72,0.911392268459187,1.6914938358928016,3.65116525504855
Vanguard dynamic (ceiling/floor) (asymmetric),73,0.9038968457277571,1.6846282343118921,3.659772544513237
Vanguard dynamic (ceiling/floor) (asymmetric),74,0.8936672867111985,1.6779710893943007,3.670491669312479
Vanguard dynamic (ceiling/floor) (asymmetric),75,0.883722329761579,1.6723318065424793,3.675153154446089
Vanguard dynamic (ceiling/floor) (asymmetric),76,0.8727669644142491,1.6643861939733224,3.6927295942847227
Vanguard dynamic (ceiling/floor) (asymmetric),77,0.8608581966504977,1.6560990059497585,3.7108267106034973
Vanguard dynamic (ceiling/floor) (asymmetric),78,0.8492458355411507,1.6485984111068381,3.72462008402216
Vanguard dynamic (ceiling/floor) (asymmetric),79,0.8379688912909309,1.6418529898664407,3.733224513474802
Vanguard dynamic (ceiling/floor) (asymmetric),80,0.8271030564254409,1.636822158229213,3.7640357056919806
Vanguard dynamic (ceiling/floor) (asymmetric),81,0.8165252131963399,1.633349803327248,3.792259917468952
Vanguard dynamic (ceiling/floor) (asymmetric),82,0.8053132584687313,1.6273297034457355,3.8297007053729293
Vanguard dynamic (ceiling/floor) (asymmetric),83,0.7932161221296005,1.6243049649853614,3.8611283455320637
Vanguard dynamic (ceiling/floor) (asymmetric),84,0.7805345850643205,1.6202259385606679,3.8928789334186615
Vanguard dynamic (ceiling/floor) (asymmetric),85,0.7686064157251651,1.6157551711382543,3.9337094954619527
Vanguard dynamic (ceiling/floor) (asymmetric),86,0.7566071006456537,1.609869566704434,3.9692953111192613
Vanguard dynamic (ceiling/floor) (asymmetric),87,0.7436113817678011,1.605660326297476,4.0179808574697
Vanguard dynamic (ceiling/floor) (asymmetric),88,0.7348009249292867,1.603319041117171,4.069243423922366
Vanguard dynamic (ceiling/floor) (asymmetric),89,0.7246780580125036,1.6002201020839886,4.116389136404421
Vanguard dynamic (ceiling/floor) (asymmetric),90,0.7153297970027256,1.5984481758820994,4.168877615409157
Vanguard dynamic (ceiling/floor) (asymmetric),91,0.705993296870204,1.5958990938545483,4.214146459324645
Vanguard dynamic (ceiling/floor) (asymmetric),92,0.6977501526739582,1.5925873450550347,4.266897470110706
Constant real (4%-rule style),63,0.8804804402121377,1.5649759097053648,3.2164500107975904
Constant real (4%-rule style),64,0.8804804402121377,1.5649759097053648,3.2164500107975904
Constant real (4%-rule style),65,0.8804804402121377,1.5649759097053648,3.2164500107975904
Constant real (4%-rule style),66,0.8804804402121377,1.5649759097053648,3.2164500107975904
