differential,strategy,label,cec_crra_gamma5,cec_ez_gamma5_psi1.5,prob_ruin,median_wealth_at_retirement,median_bequest,p5_retirement_consumption
0.0015,balanced_all_equity,50/50 Domestic/International Equity,1.040439037729398,1.2357077513005121,0.12112,20.79824186381375,42.3359719760401,0.743802758940593
0.0015,domestic_equity,100% Domestic Equity,0.8817855922986605,0.9936571805443004,0.2538,16.0819016652959,16.667399047289898,0.6270354299061549
0.0015,international_equity,100% International Equity,1.0921102268071146,1.3299612986447829,0.09674,23.528943205994764,57.79106226382916,0.7842861757222814
0.0015,sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.8706869896186361,0.9630499276769333,0.24212,13.336937897658256,10.196712230131132,0.6225299301076345
0.0015,target_date_fund,Target-Date Fund (glide path),0.9395280765665834,1.0481473651943307,0.22456,16.193222305827355,9.103014650165829,0.6801795550273797
0.0015,bills_only,100% Bills (cash),0.738999359783288,0.7664522001573014,0.56357,6.395067469984038,0.0,0.5405300135722927
0.002,balanced_all_equity,50/50 Domestic/International Equity,1.0379958719187574,1.2317108744008065,0.12241,20.67252702450394,41.54380576890611,0.7422237550989083
0.002,domestic_equity,100% Domestic Equity,0.8817855922986605,0.9936571805443004,0.2538,16.0819016652959,16.667399047289898,0.6270354299061549
0.002,international_equity,100% International Equity,1.0867695113416735,1.3207997874389106,0.09906,23.234662042779924,55.72134847470373,0.7804631568267921
0.002,sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.8706869896186361,0.9630499276769333,0.24212,13.336937897658256,10.196712230131132,0.6225299301076345
0.002,target_date_fund,Target-Date Fund (glide path),0.9385370091976107,1.0466934281398017,0.22507,16.13422532536606,9.011712750455011,0.6794298541395621
0.002,bills_only,100% Bills (cash),0.738999359783288,0.7664522001573014,0.56357,6.395067469984038,0.0,0.5405300135722927
0.003,balanced_all_equity,50/50 Domestic/International Equity,1.0331621210971433,1.223789412618718,0.12487,20.41187691895991,40.042645169829484,0.7388295975851354
0.003,domestic_equity,100% Domestic Equity,0.8817855922986605,0.9936571805443004,0.2538,16.0819016652959,16.667399047289898,0.6270354299061549
0.003,international_equity,100% International Equity,1.076232381056542,1.3027926853501093,0.10436,22.654510513180778,51.83613924540779,0.773010695915596
0.003,sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.8706869896186361,0.9630499276769333,0.24212,13.336937897658256,10.196712230131132,0.6225299301076345
0.003,target_date_fund,Target-Date Fund (glide path),0.936562711425708,1.0437984693940765,0.22648,16.02177526947745,8.846211905566374,0.6777349703004605
0.003,bills_only,100% Bills (cash),0.738999359783288,0.7664522001573014,0.56357,6.395067469984038,0.0,0.5405300135722927
0.005,balanced_all_equity,50/50 Domestic/International Equity,1.0236496194671358,1.2082298307678772,0.13021,19.910125103536384,37.20667452204016,0.7323059779266693
0.005,domestic_equity,100% Domestic Equity,0.8817855922986605,0.9936571805443004,0.2538,16.0819016652959,16.667399047289898,0.6270354299061549
0.005,international_equity,100% International Equity,1.0555734303772835,1.268006340157425,0.11481,21.55234773650345,44.83001602690692,0.7585500880476264
0.005,sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.8706869896186361,0.9630499276769333,0.24212,13.336937897658256,10.196712230131132,0.6225299301076345
0.005,target_date_fund,Target-Date Fund (glide path),0.9326452687669871,1.0380601347877294,0.2299,15.798353247905945,8.506707276800299,0.6748444728603904
0.005,bills_only,100% Bills (cash),0.738999359783288,0.7664522001573014,0.56357,6.395067469984038,0.0,0.5405300135722927
0.0075,balanced_all_equity,50/50 Domestic/International Equity,1.0120674105349936,1.1893116626451055,0.13744,19.302450942186745,33.88023117263354,0.7244091209071407
0.0075,domestic_equity,100% Domestic Equity,0.8817855922986605,0.9936571805443004,0.2538,16.0819016652959,16.667399047289898,0.6270354299061549
0.0075,international_equity,100% International Equity,1.0307816049371983,1.226787659153058,0.13019,20.257867269108957,37.25365820046592,0.7417619143946439
