signal,signal_label,family,sensitivity,cec,mean_savings_rate,matched_value_pct,extrapolated,prob_ruin,p5_retirement_consumption,median_retirement_consumption,increment_pct
return_1y,Last year's return,flow (market),0.4,0.7974451363111841,0.07996765165631577,-0.37629794103974934,False,0.11675,0.7036169680198732,1.3240016268351609,-0.9985252874876949
return_5y,Trailing 5-year return,flow (market),0.0,0.7924495257552827,0.10000000000000007,0.6222273464479455,False,0.11675,0.7320187041785252,1.4586862578720443,0.0
return_5y,Trailing 5-year return,flow (market),0.02,0.7933486441368884,0.09875111793378616,0.6335649468075966,False,0.11675,0.7302118095667601,1.4506311574241284,0.011337600359651034
return_5y,Trailing 5-year return,flow (market),0.05,0.7946521818180412,0.09688293589359057,0.6452331963505475,False,0.11675,0.7268983288079919,1.4392135061254296,0.023005849902602016
return_5y,Trailing 5-year return,flow (market),0.1,0.7966793025787202,0.09383353738906226,0.6514906895678241,False,0.11675,0.7215455468445854,1.4196398597491982,0.02926334311987855
return_5y,Trailing 5-year return,flow (market),0.2,0.800127330744465,0.08811281992400725,0.6185190352122838,False,0.11675,0.7126548800815696,1.3805312070636973,-0.003708311235661732
return_5y,Trailing 5-year return,flow (market),0.4,0.8048720162447287,0.07796601016206645,0.3897733729502084,False,0.11675,0.6956362484285857,1.3138532453963194,-0.2324539734977371
return_10y,Trailing 10-year return,flow (market),0.0,0.7924495257552827,0.10000000000000007,0.6222273464479455,False,0.11675,0.7320187041785252,1.4586862578720443,0.0
return_10y,Trailing 10-year return,flow (market),0.02,0.7933178927520407,0.0987815812920019,0.6321699009855353,False,0.11675,0.73006999748456,1.4499888269099657,0.009942554537589743
return_10y,Trailing 10-year return,flow (market),0.05,0.7945844469144727,0.09695909428912994,0.6429096274768398,False,0.11675,0.7265616514157238,1.438612794795616,0.020682281028894245
return_10y,Trailing 10-year return,flow (market),0.1,0.7965759839403501,0.09398251552096566,0.6506444254296806,False,0.11675,0.7199563617506424,1.4169856761050261,0.028417078981735067
return_10y,Trailing 10-year return,flow (market),0.2,0.8001023479244376,0.08831049149075032,0.6314959219320793,False,0.11675,0.71102489303617,1.377029653376895,0.009268575484133734
return_10y,Trailing 10-year return,flow (market),0.4,0.8054085313768963,0.07797319168321479,0.4572714452909521,False,0.11675,0.6903300866064924,1.305877654581832,-0.16495590115699343
income_shock,Income vs its expected path,income,0.0,0.7924495257552827,0.10000000000000007,0.6222273464479455,False,0.11675,0.7320187041785252,1.4586862578720443,0.0
income_shock,Income vs its expected path,income,0.02,0.8009751105363594,0.10001309323900916,1.7060847440206972,False,0.11675,0.7178873267930979,1.4674311954984993,1.0838573975727517
income_shock,Income vs its expected path,income,0.05,0.8126226350927571,0.10014030679497798,3.1979874508516692,False,0.11675,0.6952379413969434,1.479801075192312,2.5757601044037237
income_shock,Income vs its expected path,income,0.1,0.8278104878395157,0.10105020737282275,5.221022318253077,False,0.11675,0.6571100809209274,1.4941504649953614,4.598794971805131
income_shock,Income vs its expected path,income,0.2,0.8395533182683953,0.10370933138341365,6.99402468454029,False,0.11675,0.5858836784243245,1.525904836711198,6.371797338092344
income_shock,Income vs its expected path,income,0.4,0.8327415638462604,0.11262224091749948,7.068900573413073,False,0.1187,0.521673595072354,1.6121431753442994,6.446673226965127
none,No conditioning (age profile only),none,0.0,0.7924495257552827,0.10000000000000007,0.6222273464479455,False,0.11675,0.7320187041785252,1.4586862578720443,0.0
none,No conditioning (age profile only),none,0.02,0.7924495257552827,0.10000000000000007,0.6222273464479455,False,0.11675,0.7320187041785252,1.4586862578720443,0.0
none,No conditioning (age profile only),none,0.05,0.7924495257552827,0.10000000000000007,0.6222273464479455,False,0.11675,0.7320187041785252,1.4586862578720443,0.0
none,No conditioning (age profile only),none,0.1,0.7924495257552827,0.10000000000000007,0.6222273464479455,False,0.11675,0.7320187041785252,1.4586862578720443,0.0
none,No conditioning (age profile only),none,0.2,0.7924495257552827,0.10000000000000007,0.6222273464479455,False,0.11675,0.7320187041785252,1.4586862578720443,0.0
none,No conditioning (age profile only),none,0.4,0.7924495257552827,0.10000000000000007,0.6222273464479455,False,0.11675,0.7320187041785252,1.4586862578720443,0.0
