kind,risk_aversion,age,phase,dom_eq,intl_eq,bond,bill,equity,fixed_income,domestic_share_of_equity,bond_share_of_fixed
full simplex,5.0,66,retired,0.1,0.8999999999999999,0.0,0.0,0.9999999999999999,0.0,0.10000000000000002,0.0
full simplex,5.0,67,retired,0.15000000000000002,0.8500000000000001,0.0,0.0,1.0,0.0,0.15000000000000002,0.0
full simplex,5.0,68,retired,0.15000000000000002,0.8500000000000001,0.0,0.0,1.0,0.0,0.15000000000000002,0.0
full simplex,5.0,69,retired,0.1,0.8999999999999999,0.0,0.0,0.9999999999999999,0.0,0.10000000000000002,0.0
full simplex,5.0,70,retired,0.2,0.8,0.0,0.0,1.0,0.0,0.2,0.0
full simplex,5.0,71,retired,0.15000000000000002,0.8,0.05,0.0,0.9500000000000001,0.05,0.15789473684210528,1.0
full simplex,5.0,72,retired,0.15000000000000002,0.8499999999999999,0.0,0.0,0.9999999999999999,0.0,0.15000000000000005,0.0
full simplex,5.0,73,retired,0.1,0.8999999999999999,0.0,0.0,0.9999999999999999,0.0,0.10000000000000002,0.0
full simplex,5.0,74,retired,0.2,0.8,0.0,0.0,1.0,0.0,0.2,0.0
full simplex,5.0,75,retired,0.2,0.8,0.0,0.0,1.0,0.0,0.2,0.0
full simplex,5.0,76,retired,0.2,0.8,0.0,0.0,1.0,0.0,0.2,0.0
full simplex,5.0,77,retired,0.05,0.8999999999999999,0.05,0.0,0.95,0.05,0.052631578947368425,1.0
full simplex,5.0,78,retired,0.2,0.8,0.0,0.0,1.0,0.0,0.2,0.0
full simplex,5.0,79,retired,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
full simplex,5.0,80,retired,0.2,0.8,0.0,0.0,1.0,0.0,0.2,0.0
full simplex,5.0,81,retired,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
full simplex,5.0,82,retired,0.05,0.95,0.0,0.0,1.0,0.0,0.05,0.0
full simplex,5.0,83,retired,0.25,0.75,0.0,0.0,1.0,0.0,0.25,0.0
full simplex,5.0,84,retired,0.05,0.95,0.0,0.0,1.0,0.0,0.05,0.0
full simplex,5.0,85,retired,0.2,0.8,0.0,0.0,1.0,0.0,0.2,0.0
full simplex,5.0,86,retired,0.0,0.8999999999999999,0.1,0.0,0.8999999999999999,0.1,0.0,1.0
full simplex,5.0,87,retired,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
full simplex,5.0,88,retired,0.10000000000000002,0.9000000000000001,0.0,0.0,1.0000000000000002,0.0,0.09999999999999999,0.0
full simplex,5.0,89,retired,0.2,0.8,0.0,0.0,1.0,0.0,0.2,0.0
full simplex,5.0,90,retired,0.45,0.55,0.0,0.0,1.0,0.0,0.45,0.0
full simplex,5.0,91,retired,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
full simplex,5.0,92,retired,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
full simplex,10.0,25,working,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
full simplex,10.0,26,working,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
full simplex,10.0,27,working,0.5999999999999999,0.39999999999999997,0.0,0.0,0.9999999999999998,0.0,0.6,0.0
full simplex,10.0,28,working,0.4,0.6000000000000001,0.0,0.0,1.0,0.0,0.4,0.0
full simplex,10.0,29,working,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
full simplex,10.0,30,working,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
full simplex,10.0,31,working,0.2,0.8,0.0,0.0,1.0,0.0,0.2,0.0
full simplex,10.0,32,working,0.2,0.8,0.0,0.0,1.0,0.0,0.2,0.0
full simplex,10.0,33,working,0.3,0.7,0.0,0.0,1.0,0.0,0.3,0.0
full simplex,10.0,34,working,0.10000000000000002,0.9000000000000001,0.0,0.0,1.0000000000000002,0.0,0.09999999999999999,0.0
full simplex,10.0,35,working,0.3,0.7,0.0,0.0,1.0,0.0,0.3,0.0
full simplex,10.0,36,working,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
full simplex,10.0,37,working,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
full simplex,10.0,38,working,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
full simplex,10.0,39,working,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
full simplex,10.0,40,working,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
full simplex,10.0,41,working,0.15000000000000002,0.8500000000000001,0.0,0.0,1.0,0.0,0.15000000000000002,0.0
full simplex,10.0,42,working,0.1,0.8999999999999999,0.0,0.0,0.9999999999999999,0.0,0.10000000000000002,0.0
full simplex,10.0,43,working,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
full simplex,10.0,44,working,0.05,0.95,0.0,0.0,1.0,0.0,0.05,0.0
full simplex,10.0,45,working,0.15000000000000002,0.8500000000000001,0.0,0.0,1.0,0.0,0.15000000000000002,0.0
full simplex,10.0,46,working,0.1,0.8499999999999999,0.05,0.0,0.9499999999999998,0.05,0.10526315789473686,1.0
full simplex,10.0,47,working,0.05,0.95,0.0,0.0,1.0,0.0,0.05,0.0
full simplex,10.0,48,working,0.25,0.75,0.0,0.0,1.0,0.0,0.25,0.0
full simplex,10.0,49,working,0.1,0.8999999999999999,0.0,0.0,0.9999999999999999,0.0,0.10000000000000002,0.0
full simplex,10.0,50,working,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
full simplex,10.0,51,working,0.05,0.95,0.0,0.0,1.0,0.0,0.05,0.0
full simplex,10.0,52,working,0.1,0.8999999999999999,0.0,0.0,0.9999999999999999,0.0,0.10000000000000002,0.0
full simplex,10.0,53,working,0.25,0.55,0.2,0.0,0.8,0.2,0.3125,1.0
full simplex,10.0,54,working,0.05,0.95,0.0,0.0,1.0,0.0,0.05,0.0
full simplex,10.0,55,working,0.1,0.8999999999999999,0.0,0.0,0.9999999999999999,0.0,0.10000000000000002,0.0
full simplex,10.0,56,working,0.2,0.8,0.0,0.0,1.0,0.0,0.2,0.0
full simplex,10.0,57,working,0.1,0.8999999999999999,0.0,0.0,0.9999999999999999,0.0,0.10000000000000002,0.0
full simplex,10.0,58,working,0.3,0.7,0.0,0.0,1.0,0.0,0.3,0.0
full simplex,10.0,59,working,0.05,0.95,0.0,0.0,1.0,0.0,0.05,0.0
full simplex,10.0,60,working,0.35,0.6499999999999999,0.0,0.0,0.9999999999999999,0.0,0.35000000000000003,0.0
full simplex,10.0,61,working,0.05,0.8999999999999999,0.0,0.05,0.95,0.05,0.052631578947368425,0.0
full simplex,10.0,62,working,0.25,0.55,0.2,0.0,0.8,0.2,0.3125,1.0
full simplex,10.0,63,retired,0.15000000000000002,0.5999999999999999,0.0,0.25,0.7499999999999999,0.25,0.20000000000000007,0.0
full simplex,10.0,64,retired,0.25,0.7,0.0,0.05,0.95,0.05,0.2631578947368421,0.0
full simplex,10.0,65,retired,0.2,0.7,0.0,0.1,0.8999999999999999,0.1,0.22222222222222227,0.0
full simplex,10.0,66,retired,0.05,0.8999999999999999,0.0,0.05,0.95,0.05,0.052631578947368425,0.0
full simplex,10.0,67,retired,0.15000000000000002,0.8500000000000001,0.0,0.0,1.0,0.0,0.15000000000000002,0.0
full simplex,10.0,68,retired,0.05,0.95,0.0,0.0,1.0,0.0,0.05,0.0
full simplex,10.0,69,retired,0.15000000000000002,0.8499999999999999,0.0,0.0,0.9999999999999999,0.0,0.15000000000000005,0.0
full simplex,10.0,70,retired,0.2,0.8,0.0,0.0,1.0,0.0,0.2,0.0
full simplex,10.0,71,retired,0.2,0.75,0.0,0.05,0.95,0.05,0.2105263157894737,0.0
full simplex,10.0,72,retired,0.2,0.75,0.0,0.05,0.95,0.05,0.2105263157894737,0.0
full simplex,10.0,73,retired,0.05,0.8999999999999999,0.0,0.05,0.95,0.05,0.052631578947368425,0.0
full simplex,10.0,74,retired,0.15000000000000002,0.8499999999999999,0.0,0.0,0.9999999999999999,0.0,0.15000000000000005,0.0
full simplex,10.0,75,retired,0.10000000000000002,0.9000000000000001,0.0,0.0,1.0000000000000002,0.0,0.09999999999999999,0.0
full simplex,10.0,76,retired,0.25,0.7,0.05,0.0,0.95,0.05,0.2631578947368421,1.0
full simplex,10.0,77,retired,0.10000000000000002,0.8,0.1,0.0,0.9,0.1,0.11111111111111113,1.0
full simplex,10.0,78,retired,0.15000000000000002,0.75,0.1,0.0,0.9,0.1,0.16666666666666669,1.0
full simplex,10.0,79,retired,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
full simplex,10.0,80,retired,0.05,0.8999999999999999,0.05,0.0,0.95,0.05,0.052631578947368425,1.0
full simplex,10.0,81,retired,0.05,0.95,0.0,0.0,1.0,0.0,0.05,0.0
full simplex,10.0,82,retired,0.0,0.95,0.05,0.0,0.95,0.05,0.0,1.0
full simplex,10.0,83,retired,0.25,0.75,0.0,0.0,1.0,0.0,0.25,0.0
full simplex,10.0,84,retired,0.35,0.6499999999999999,0.0,0.0,0.9999999999999999,0.0,0.35000000000000003,0.0
full simplex,10.0,85,retired,0.2,0.8,0.0,0.0,1.0,0.0,0.2,0.0
full simplex,10.0,86,retired,0.0,0.95,0.05,0.0,0.95,0.05,0.0,1.0
full simplex,10.0,87,retired,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
full simplex,10.0,88,retired,0.0,0.8500000000000001,0.05,0.10000000000000002,0.8500000000000001,0.15000000000000002,0.0,0.3333333333333333
full simplex,10.0,89,retired,0.35,0.6499999999999999,0.0,0.0,0.9999999999999999,0.0,0.35000000000000003,0.0
full simplex,10.0,90,retired,0.0,0.8500000000000001,0.15000000000000002,0.0,0.8500000000000001,0.15000000000000002,0.0,1.0
full simplex,10.0,91,retired,0.0,0.5,0.0,0.5,0.5,0.5,0.0,0.0
full simplex,10.0,92,retired,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.5
