claim_arm,system,leisure,cec,prob_ruin,mean_retirement_consumption,n_paths,cec_survival_weighted,retire_age,working_years,retired_years,claim_factor,mean_benefit
unadjusted,us,1.15,0.656118673737412,0.11716,1.729325895179758,100000,0.6531442194766893,63,38,30,1.0,0.6605178999580591
unadjusted,us,1.2,0.6293988470528472,0.11716,1.729325895179758,100000,0.6263519977921154,63,38,30,1.0,0.6605178999580591
unadjusted,us,1.25,0.6047070032022257,0.11716,1.729325895179758,100000,0.6016278813646825,63,38,30,1.0,0.6605178999580591
unadjusted,us,1.3,0.5818314735128809,0.11716,1.729325895179758,100000,0.5787487089359535,63,38,30,1.0,0.6605178999580591
unadjusted,us,1.4,0.5408106275627059,0.11716,1.729325895179758,100000,0.537775680647242,63,38,30,1.0,0.6605178999580591
unadjusted,us,1.5,0.5051093877783092,0.11716,1.729325895179758,100000,0.5021635225550023,63,38,30,1.0,0.6605178999580591
unadjusted,us,1.75,0.4333906957657881,0.11716,1.729325895179758,100000,0.4307240909306186,63,38,30,1.0,0.6605178999580591
unadjusted,us,2.0,0.379404335361038,0.11716,1.729325895179758,100000,0.3770105512891652,63,38,30,1.0,0.6605178999580591
unadjusted,us,1.0,0.7273687822486677,0.0996,1.909631271353572,100000,0.725833880904662,65,40,28,1.0,0.6588736439468674
unadjusted,us,1.05,0.6936236990959807,0.0996,1.909631271353572,100000,0.691864610077864,65,40,28,1.0,0.6588736439468674
unadjusted,us,1.1,0.6627697092214093,0.0996,1.909631271353572,100000,0.6608648543510189,65,40,28,1.0,0.6588736439468674
unadjusted,us,1.15,0.6344697579739463,0.0996,1.909631271353572,100000,0.6324744404393612,65,40,28,1.0,0.6588736439468674
unadjusted,us,1.2,0.6084328649373079,0.0996,1.909631271353572,100000,0.6063862839320224,65,40,28,1.0,0.6588736439468674
unadjusted,us,1.25,0.5844076869743103,0.0996,1.909631271353572,100000,0.5823377122393476,65,40,28,1.0,0.6588736439468674
unadjusted,us,1.3,0.5621767471354534,0.0996,1.909631271353572,100000,0.5601032050914326,65,40,28,1.0,0.6588736439468674
unadjusted,us,1.4,0.5223675993512534,0.0996,1.909631271353572,100000,0.5203249797919342,65,40,28,1.0,0.6588736439468674
unadjusted,us,1.5,0.48776965548245377,0.0996,1.909631271353572,100000,0.4857864074761809,65,40,28,1.0,0.6588736439468674
unadjusted,us,1.75,0.41837029644066764,0.0996,1.909631271353572,100000,0.41657458820952403,65,40,28,1.0,0.6588736439468674
unadjusted,us,2.0,0.36619407791759306,0.0996,1.909631271353572,100000,0.36458198791232305,65,40,28,1.0,0.6588736439468674
unadjusted,us,1.0,0.6984998517771376,0.08261,2.11713007786163,100000,0.6984350581007847,67,42,26,1.0,0.6557706188193073
unadjusted,us,1.05,0.6657973506788121,0.08261,2.11713007786163,100000,0.6655385552164895,67,42,26,1.0,0.6557706188193073
unadjusted,us,1.1,0.6359561238751456,0.08261,2.11713007786163,100000,0.6355599480411268,67,42,26,1.0,0.6557706188193073
unadjusted,us,1.15,0.6086285430737526,0.08261,2.11713007786163,100000,0.6081354064493368,67,42,26,1.0,0.6557706188193073
unadjusted,us,1.2,0.5835183764356349,0.08261,2.11713007786163,100000,0.5829574134316695,67,42,26,1.0,0.6557706188193073
unadjusted,us,1.25,0.5603723399132565,0.08261,2.11713007786163,100000,0.5597647265501019,67,42,26,1.0,0.6557706188193073
unadjusted,us,1.3,0.5389730461132108,0.08261,2.11713007786163,100000,0.5383342815667895,67,42,26,1.0,0.6557706188193073
unadjusted,us,1.4,0.5006906093120216,0.08261,2.11713007786163,100000,0.5000207854807461,67,42,26,1.0,0.6557706188193073
unadjusted,us,1.5,0.4674521606213744,0.08261,2.11713007786163,100000,0.4667768167684536,67,42,26,1.0,0.6557706188193073
unadjusted,us,1.75,0.40084852582073466,0.08261,2.11713007786163,100000,0.4002071913990669,67,42,26,1.0,0.6557706188193073
unadjusted,us,2.0,0.35081700404658056,0.08261,2.11713007786163,100000,0.35022923664657574,67,42,26,1.0,0.6557706188193073
unadjusted,us,1.0,0.6479524292537246,0.05651,2.483094093886656,100000,0.6512489243879673,70,45,23,1.0,0.648713948194204
unadjusted,us,1.05,0.6173491897311897,0.05651,2.483094093886656,100000,0.6203948827181368,70,45,23,1.0,0.648713948194204
unadjusted,us,1.1,0.5894774568714015,0.05651,2.483094093886656,100000,0.5923139354263584,70,45,23,1.0,0.648713948194204
unadjusted,us,1.15,0.5639926543080781,0.05651,2.483094093886656,100000,0.5666517609720709,70,45,23,1.0,0.648713948194204
