dropped,n_markets,strategy,label,cec_crra_gamma5,cec_ez_gamma5_psi1.5,prob_ruin,median_wealth_at_retirement,median_bequest,p5_retirement_consumption
DEU,15,bills_only,100% Bills (cash),0.7367501099712195,0.7640992640128449,0.57964,6.32252099241964,0.0,0.5387885435310741
DNK,15,balanced_all_equity,50/50 Domestic/International Equity,1.0342253721325423,1.2321379299338773,0.12782,20.840342367017083,41.426199010780124,0.7397217706271841
DNK,15,domestic_equity,100% Domestic Equity,0.8724519316303343,0.982653403013907,0.26822,15.716449576051538,14.726170025545052,0.6195201535813968
DNK,15,international_equity,100% International Equity,1.0881702237039546,1.3303402968624793,0.1042,23.967899307454456,59.981918729199364,0.7803349199536773
DNK,15,sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.8625407109892916,0.9535274070599062,0.25585,13.095615491000853,9.452554421588129,0.6152864535205166
DNK,15,target_date_fund,Target-Date Fund (glide path),0.932908017929063,1.0421034273893748,0.23535,16.05605965012596,8.634440362420925,0.6732517785150269
DNK,15,bills_only,100% Bills (cash),0.7330703495970883,0.7598595252233694,0.58777,6.230170547645738,0.0,0.5371030809924845
ESP,15,balanced_all_equity,50/50 Domestic/International Equity,1.0543470844460903,1.2574955960492682,0.11148,21.275608327916682,46.1504138214154,0.7530638901260223
ESP,15,domestic_equity,100% Domestic Equity,0.8838180140024029,0.9941797508909765,0.24932,16.04389527854432,17.10029434609416,0.625949413553326
ESP,15,international_equity,100% International Equity,1.1147516246703935,1.3676540117782072,0.08835,24.612621987145367,66.76482068767325,0.7982192243602158
ESP,15,sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.8740587807488848,0.9664254908731001,0.23433,13.417933772042087,10.792452301114013,0.6227513218826718
ESP,15,target_date_fund,Target-Date Fund (glide path),0.9477697105615985,1.0586235117008171,0.21145,16.470978026216684,10.000239411595931,0.6826241419241051
ESP,15,bills_only,100% Bills (cash),0.7403033046588751,0.7677900166548879,0.5538,6.444084081499437,0.0,0.5411565858230605
