weighting,label,year,markets,herfindahl,effective_markets,largest_share,largest_market,top3_share
gdp,Real GDP,1894,12,0.18510233620375835,5.402416957607777,0.30459041464815306,USA,0.665300830973716
gdp,Real GDP,1895,12,0.1806657423339301,5.5350836693304535,0.2895887849497541,USA,0.65922864047679
gdp,Real GDP,1896,13,0.18628022642078687,5.368256305106202,0.3078323235752493,USA,0.672050997209922
gdp,Real GDP,1897,13,0.18368873834793126,5.443991879926058,0.2971629527871304,USA,0.6698559194442602
gdp,Real GDP,1898,13,0.1895782865164915,5.27486569466915,0.3138802024787802,USA,0.6804813467434603
gdp,Real GDP,1899,13,0.18641743746290879,5.364305043614649,0.30715752186198714,USA,0.6747455712146555
gdp,Real GDP,1900,16,0.1698426637990862,5.887802143653027,0.2991320420746646,USA,0.6400410737355502
gdp,Real GDP,1901,16,0.16975655843822823,5.890788604576267,0.30113925475884756,USA,0.6404824188248874
gdp,Real GDP,1902,16,0.17772426455707263,5.626693701573146,0.3238481288714821,USA,0.6481465459305392
gdp,Real GDP,1903,16,0.17875699003057732,5.594186833359326,0.3242019740888266,USA,0.653407171749566
gdp,Real GDP,1904,16,0.18056954266619246,5.5380325232846,0.3294508556374674,USA,0.6549171331774608
gdp,Real GDP,1905,16,0.17733953006354347,5.638900698798992,0.3222530263746883,USA,0.6518963908311683
gdp,Real GDP,1906,16,0.18286461361829784,5.468526579381555,0.33372824821020475,USA,0.6596715277598666
gdp,Real GDP,1907,16,0.18928778616963898,5.282961041679698,0.34925605175686847,USA,0.6647877136251228
gdp,Real GDP,1908,16,0.1877971713219296,5.324893836051231,0.3458500477781451,USA,0.6631547733144565
gdp,Real GDP,1909,16,0.1779563108126469,5.619356770397449,0.32676938666563204,USA,0.6493118060342291
gdp,Real GDP,1910,16,0.18724480537724553,5.340602095664453,0.34706097201066965,USA,0.6588295121544157
gdp,Real GDP,1911,16,0.18748356868138483,5.333800754024636,0.346364942776883,USA,0.6647314841786397
gdp,Real GDP,1912,16,0.1862539141398487,5.369014684164705,0.3444030754612821,USA,0.6601640799626216
gdp,Real GDP,1913,16,0.18784637984097685,5.323498918885525,0.3470455586711741,USA,0.6603872621593019
gdp,Real GDP,1914,16,0.18889964528829872,5.293816187287168,0.34851535327243444,USA,0.6644084711748712
gdp,Real GDP,1915,16,0.18487625877983876,5.409023346750311,0.34372108069429197,USA,0.6562826814334908
gdp,Real GDP,1916,16,0.18780834142909703,5.324577132147926,0.34796905666816974,USA,0.6611093679996205
gdp,Real GDP,1917,16,0.19665284112963177,5.085103242117967,0.36784887567429947,USA,0.6635368044691001
gdp,Real GDP,1918,16,0.19877005233956363,5.030938958005988,0.3686372361492451,USA,0.6741888875701031
gdp,Real GDP,1919,16,0.21871907025409654,4.572075031401019,0.39887329888882916,USA,0.7034735971574699
gdp,Real GDP,1920,16,0.218304542022425,4.580756729730692,0.4084353097682503,USA,0.6738324446271744
gdp,Real GDP,1921,16,0.21059212014615208,4.748515753134517,0.3996475235561676,USA,0.659726320339915
gdp,Real GDP,1922,16,0.20608733157289033,4.852311844536224,0.3929318392973693,USA,0.655743931576589
gdp,Real GDP,1923,16,0.20313537679259325,4.922825436856463,0.38880034717101725,USA,0.6489621281874012
gdp,Real GDP,1924,16,0.22126677510247722,4.5194313494959255,0.41981754042884317,USA,0.6510493369750401
gdp,Real GDP,1925,16,0.21528418079845252,4.645023133103276,0.4094799061903511,USA,0.6498961754669905
gdp,Real GDP,1926,16,0.21147753502641786,4.728634650839294,0.402751634851867,USA,0.6520626867703498
gdp,Real GDP,1927,16,0.21918644698875764,4.562325881633052,0.41547363946311644,USA,0.6556772562238964
gdp,Real GDP,1928,16,0.21437547859510203,4.664712618035632,0.4068499663434281,USA,0.6607852060809631
gdp,Real GDP,1929,16,0.20955133346877536,4.7721003891822384,0.3995427119801221,USA,0.6531127368069596
gdp,Real GDP,1930,16,0.21349235460899368,4.6840084827931046,0.40643557835163546,USA,0.6524477068364856
gdp,Real GDP,1931,16,0.2033698649747368,4.91714935309724,0.3899711412437459,USA,0.6462996872637539
gdp,Real GDP,1932,16,0.19704857049245028,5.074890913955217,0.38135102717408165,USA,0.6355099456636405
gdp,Real GDP,1933,16,0.17949906024089196,5.571059807544265,0.3519176195671553,USA,0.612992093780933
gdp,Real GDP,1934,16,0.17270998887897634,5.790053062308592,0.3375799416732422,USA,0.6049599987623192
gdp,Real GDP,1935,16,0.17838348829925255,5.6059000164993975,0.34626429929838154,USA,0.620772997478152
gdp,Real GDP,1936,16,0.18364164668496646,5.44538789567423,0.3547574828585677,USA,0.6325219179960269
gdp,Real GDP,1937,16,0.19876215955478904,5.031138735058615,0.37811686617510126,USA,0.6546725281531716
gdp,Real GDP,1938,16,0.19788590270920556,5.053417076756123,0.3764531402949865,USA,0.653120451889232
gdp,Real GDP,1939,16,0.18993751673738712,5.264889302425848,0.36012981901639923,USA,0.6481504713801958
gdp,Real GDP,1940,16,0.19134266557497143,5.226225928206182,0.3622674631729643,USA,0.6457307521119664
gdp,Real GDP,1941,16,0.20434237042927833,4.893747674059081,0.38132037111390804,USA,0.6716724504832428
gdp,Real GDP,1942,16,0.23004845121847975,4.346910377806839,0.41829079262440816,USA,0.7083025474406344
gdp,Real GDP,1943,16,0.2633679309545482,3.796969495775775,0.464271603949626,USA,0.7375602089309194
gdp,Real GDP,1944,16,0.29998872958931433,3.333458564823431,0.5089669758960683,USA,0.7640756792587077
gdp,Real GDP,1945,15,0.41239751489834,2.4248448738749304,0.6212838815665209,USA,0.8272930022336786
gdp,Real GDP,1946,14,0.47058519148629663,2.1250137447835944,0.6680793409958274,USA,0.8505336063491293
gdp,Real GDP,1947,15,0.34410972142890756,2.9060498373818775,0.5594766943916222,USA,0.7683384288298323
gdp,Real GDP,1948,16,0.29712299939844744,3.3656095355276805,0.5158319072600344,USA,0.7145797478425948
gdp,Real GDP,1949,16,0.2897161355726304,3.4516544893969328,0.5081303107996245,USA,0.7053866064150122
gdp,Real GDP,1950,16,0.27483608677277344,3.638532376669921,0.4911810003487339,USA,0.6947405328903992
gdp,Real GDP,1951,16,0.27836393923548314,3.5924193440661356,0.496290232567414,USA,0.6900257113710189
gdp,Real GDP,1952,16,0.2800731391029887,3.570495918326103,0.49864280828768376,USA,0.687150046357042
gdp,Real GDP,1953,16,0.27912754356442154,3.5825916254273342,0.497836064477374,USA,0.6809729106397782
gdp,Real GDP,1954,16,0.27792810810273394,3.5980527728068363,0.4963997319432329,USA,0.6796143265520548
gdp,Real GDP,1955,16,0.2653545369102277,3.76854306560551,0.48173284410665923,USA,0.6708860474609756
gdp,Real GDP,1956,16,0.26731671435688587,3.74088093371121,0.48404102290321427,USA,0.6724023262631371
gdp,Real GDP,1957,16,0.2607037427930413,3.83577155159543,0.4761979873434201,USA,0.6670788966895631
gdp,Real GDP,1958,16,0.2551316869174675,3.9195444990864257,0.4693703632095151,USA,0.6611009612327313
gdp,Real GDP,1959,16,0.2472941288196747,4.043767657456978,0.45949772844304665,USA,0.6532584826578545
gdp,Real GDP,1960,16,0.25086102505299546,3.98627088360476,0.46378880051988824,USA,0.6565481035100997
gdp,Real GDP,1961,16,0.24262542943357115,4.121579515941843,0.45294492495202326,USA,0.6476668900648404
gdp,Real GDP,1962,16,0.23567185980347943,4.243187968363612,0.4437867662149414,USA,0.6375595019683821
gdp,Real GDP,1963,16,0.23632781572189132,4.231410496243878,0.44494056833514234,USA,0.6332315935445947
gdp,Real GDP,1964,16,0.23459634739211843,4.262640962301685,0.44266984340978394,USA,0.6312849177791998
gdp,Real GDP,1965,16,0.23288821598883985,4.293905536413747,0.4401099399584394,USA,0.6324346853359263
gdp,Real GDP,1966,16,0.2356854471460869,4.242943347198529,0.4439285262920308,USA,0.6355105296193806
gdp,Real GDP,1967,16,0.2386654706493954,4.18996513102233,0.4474059931899949,USA,0.6413797508031892
gdp,Real GDP,1968,16,0.23417672606282203,4.270279189622509,0.44107242111182954,USA,0.6390631541686126
gdp,Real GDP,1969,16,0.23161653927839992,4.317480967099735,0.4366325987065826,USA,0.6416850094603824
gdp,Real GDP,1970,16,0.22543119912570017,4.435943222936064,0.4271357271324423,USA,0.641317270627447
gdp,Real GDP,1971,16,0.2163780139976837,4.621541632278337,0.41297695187836925,USA,0.6368931987028728
gdp,Real GDP,1972,16,0.21563265766762274,4.637516463491375,0.4116715538145882,USA,0.6370679232955984
gdp,Real GDP,1973,16,0.216034051453535,4.628899903842621,0.4114989980062236,USA,0.6400312652205715
gdp,Real GDP,1974,16,0.215214550445898,4.646525980367607,0.40975862074893726,USA,0.6396938001715706
gdp,Real GDP,1975,16,0.2114479972879802,4.7292952065091285,0.40536229199175416,USA,0.632514201493947
gdp,Real GDP,1976,16,0.21092440926658743,4.741034968295678,0.40372085534487345,USA,0.6344763590400873
gdp,Real GDP,1977,16,0.2124663371794338,4.706627945279971,0.40606989316819453,USA,0.6360765402981887
gdp,Real GDP,1978,16,0.2152126951833775,4.646566036208618,0.4095900740686357,USA,0.6399986551576673
gdp,Real GDP,1979,16,0.21921022001572094,4.561831104080293,0.4148298837555983,USA,0.6452256008405096
gdp,Real GDP,1980,16,0.21838881262117188,4.578989134093832,0.4130500023307796,USA,0.6459251602000035
gdp,Real GDP,1981,16,0.21548087568436425,4.640783070998825,0.40856246491432824,USA,0.6439519492437159
gdp,Real GDP,1982,16,0.21821584848693645,4.582618572087193,0.4118816886225801,USA,0.6484872936648453
gdp,Real GDP,1983,16,0.21354538249907437,4.68284534321099,0.40392180337378725,USA,0.6443864225639221
gdp,Real GDP,1984,16,0.21725202916465736,4.602948952168776,0.40937119067075844,USA,0.6482181707464385
gdp,Real GDP,1985,16,0.22395738627312695,4.465135160938391,0.41921992661934426,USA,0.6552393605294419
gdp,Real GDP,1986,16,0.2253925011142493,4.436704837367724,0.4209235168376139,USA,0.657372049796057
gdp,Real GDP,1987,16,0.22627610826610628,4.419379525583741,0.4222214031013043,USA,0.6576475962275834
gdp,Real GDP,1988,16,0.22649506849576367,4.415107166091362,0.42232421852038804,USA,0.657281632609503
