hedge_ratio,hedge_cost,strategy,label,cec_gamma2,cec_gamma5,cec_gamma10,prob_ruin,median_bequest,p5_retirement_consumption,intl_mean,intl_geometric_mean,intl_sd,intl_p5,corr_intl_domestic_equity,corr_intl_inflation
1.0,0.002,international_equity,100% International Equity,1.4660394443579243,1.0317721242085733,0.7291173494465023,0.11874,62.01645402858607,0.7334463684503076,0.07741730458906444,0.05879605552759652,0.21129279583829194,-0.18662514924681628,0.4671540334070132,-0.27714318280066397
1.0,0.003,balanced_all_equity,50/50 Domestic/International Equity,1.368197513691192,0.9930748055611452,0.7174400622556312,0.14352,43.82730774127148,0.7032959826369768,0.07633772813156038,0.05773513763628631,0.21108107960999703,-0.18744015410729045,0.4671540334070131,-0.2771431828006644
1.0,0.003,international_equity,100% International Equity,1.4472653736728354,1.024155030229834,0.7266924859768276,0.12238,57.73767032204273,0.7287211215513635,0.07633772813156038,0.05773513763628631,0.21108107960999703,-0.18744015410729045,0.4671540334070131,-0.2771431828006644
1.0,0.005,balanced_all_equity,50/50 Domestic/International Equity,1.3513925985839932,0.9858541741823019,0.7150484718943811,0.1478,40.691701241944294,0.6985138752400389,0.07417857521655223,0.055613301853665864,0.2106576471534073,-0.18907016382823869,0.46715403340701295,-0.277143182800664
1.0,0.005,international_equity,100% International Equity,1.410982050228524,1.0093265523555104,0.7221356709533453,0.1307,49.97218938488008,0.7177185798604375,0.07417857521655223,0.055613301853665864,0.2106576471534073,-0.18907016382823869,0.46715403340701295,-0.277143182800664
1.0,0.0075,balanced_all_equity,50/50 Domestic/International Equity,1.3309160395686936,0.9769638066239709,0.7121114801885274,0.1538,36.992038137326276,0.691746921178361,0.07147963407279212,0.05296100712539039,0.2101283565826701,-0.19110767597942385,0.4671540334070127,-0.277143182800664
1.0,0.0075,international_equity,100% International Equity,1.3677497910093404,0.9911705752055661,0.7163478788287636,0.1417,41.53467171977509,0.7044889848298992,0.07147963407279212,0.05296100712539039,0.2101283565826701,-0.19110767597942385,0.4671540334070127,-0.277143182800664
1.0,0.01,balanced_all_equity,50/50 Domestic/International Equity,1.3109977088802254,0.9681754263482681,0.7091435787402854,0.16048,33.616148949827604,0.6860271511472994,0.06878069292903187,0.05030871239711479,0.2095990660119329,-0.19314518813060935,0.46715403340701267,-0.27714318280066397
1.0,0.01,international_equity,100% International Equity,1.3267767372397452,0.9734674668274781,0.710476639069447,0.15344,34.480711087254576,0.6922862026968242,0.06878069292903187,0.05030871239711479,0.2095990660119329,-0.19314518813060935,0.46715403340701267,-0.27714318280066397
1.0,0.015,balanced_all_equity,50/50 Domestic/International Equity,1.2728047252915715,0.95102215427421,0.7031334384617742,0.17268,27.731618201797666,0.6750602645744418,0.06338281064151148,0.04500412294056369,0.20854048487045845,-0.19722021243298,0.4671540334070128,-0.2771431828006641
