position,credit,rate,strategy,label,cec_crra_gamma5,cec_ez_gamma5_psi1.5,prob_ruin,median_wealth_at_retirement,median_bequest,p5_retirement_consumption,mean_retirement_consumption,n_paths
"a taxed fund, nothing franked",-0.15000000000000002,0.15,domestic_010,10% domestic equity,1.0536840941872125,1.261523202484754,0.11301,20.878583066981463,41.30937127723005,0.7574640095054883,1.7050076474558513,100000
"a taxed fund, nothing franked",-0.15000000000000002,0.15,domestic_020,20% domestic equity,1.051492109142335,1.2551569135469738,0.11176,20.428147576521834,38.82105146387511,0.7542260446981914,1.6769107560610932,100000
"a taxed fund, nothing franked",-0.15000000000000002,0.15,domestic_030,30% domestic equity,1.0402110764994954,1.2352689210582024,0.11732,19.869735167461535,35.97401869307039,0.7459887364978438,1.6469981592686471,100000
"a taxed fund, nothing franked",-0.15000000000000002,0.15,domestic_040,40% domestic equity,1.020931261974766,1.203732774279481,0.12986,19.217625594799014,32.92135111237377,0.7316731613273363,1.615387324928803,100000
"a taxed fund, nothing franked",-0.15000000000000002,0.15,domestic_050,50% domestic equity,0.9958108077458213,1.1639038284102246,0.14865,18.498836556989637,29.537458365985685,0.7139399798121209,1.5824917874605122,100000
"a taxed fund, nothing franked",-0.15000000000000002,0.15,domestic_060,60% domestic equity,0.9676970659757372,1.1200886183551066,0.17009,17.73953035387154,25.76855588668855,0.6943900277640206,1.548803032405867,100000
"a taxed fund, nothing franked",-0.15000000000000002,0.15,domestic_070,70% domestic equity,0.9387174753695036,1.0757222054127948,0.19438,16.9132286202814,21.93808918844325,0.6722052140915715,1.514642823378293,100000
"a taxed fund, nothing franked",-0.15000000000000002,0.15,domestic_080,80% domestic equity,0.910025696235399,1.0327546613652148,0.22177,16.045516278186117,17.823205328869356,0.6506590844472158,1.479809103878677,100000
"a taxed fund, nothing franked",-0.15000000000000002,0.15,domestic_090,90% domestic equity,0.8820941611633207,0.9921131885830666,0.25297,15.125286684978182,13.90462820238771,0.630059037050359,1.4442384516626057,100000
"a taxed fund, nothing franked",-0.15000000000000002,0.15,domestic_100,100% domestic equity,0.8553264713866887,0.9541772845523746,0.28726,14.158463308441833,10.280227870906273,0.6103158219733723,1.407477114671067,100000
an Australian fund still accumulating,0.2142857142857142,0.15,balanced_all_equity,50/50 Domestic/International Equity,1.0556256635588062,1.2601275566258712,0.11351,21.7438280359472,48.20346841362584,0.7544658999849055,1.7584824136544424,100000
an Australian fund still accumulating,0.2142857142857142,0.15,domestic_equity,100% Domestic Equity,0.9214896970098643,1.0538526042054233,0.21309,19.364988112692423,31.009062919166816,0.6525842015911225,1.7337129216074247,100000
an Australian fund still accumulating,0.2142857142857142,0.15,international_equity,100% International Equity,1.0469930412547468,1.2543883052114682,0.12122,21.226082774301712,42.796109565028544,0.7529089180806426,1.731495329536707,100000
an Australian fund still accumulating,0.2142857142857142,0.15,sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.896194777931985,1.0008996756594535,0.21113,14.84202752555027,15.206207619784696,0.6392552087652101,1.3731830358136812,100000
an Australian fund still accumulating,0.2142857142857142,0.15,target_date_fund,Target-Date Fund (glide path),0.953590406311645,1.0685456521487617,0.214,17.078644064810675,10.424827468369074,0.690651510405039,1.4567389084155957,100000
an Australian fund still accumulating,0.2142857142857142,0.15,bills_only,100% Bills (cash),0.738999359783288,0.7664522001573014,0.56357,6.395067469984038,0.0,0.5405300135722927,0.908272012393883,100000
an Australian fund still accumulating,0.2142857142857142,0.15,domestic_000,0% domestic equity,1.0469930412547468,1.2543883052114682,0.12122,21.226082774301712,42.796109565028544,0.7529089180806426,1.731495329536707,100000
an Australian fund still accumulating,0.2142857142857142,0.15,domestic_010,10% domestic equity,1.0676992807617771,1.2847076533828041,0.10504,21.54843972662795,45.47688301387967,0.766813279675403,1.741529262970256,100000
an Australian fund still accumulating,0.2142857142857142,0.15,domestic_020,20% domestic equity,1.0795990721322208,1.301655917789296,0.09659,21.783194434802233,47.12868084314419,0.7722354237080011,1.7492797253444683,100000
an Australian fund still accumulating,0.2142857142857142,0.15,domestic_030,30% domestic equity,1.081216726364239,1.3029081536198024,0.09625,21.876842868245458,48.1850715970334,0.7730846458850434,1.754563233574073,100000
an Australian fund still accumulating,0.2142857142857142,0.15,domestic_040,40% domestic equity,1.0727776812001055,1.2883304580538368,0.10227,21.847698419618418,48.679986677044596,0.7667768513505803,1.7575616750390288,100000
an Australian fund still accumulating,0.2142857142857142,0.15,domestic_050,50% domestic equity,1.0556256635588062,1.2601275566258712,0.11351,21.7438280359472,48.20346841362584,0.7544658999849055,1.7584824136544424,100000
an Australian fund still accumulating,0.2142857142857142,0.15,domestic_060,60% domestic equity,1.032352002936087,1.2226604990423866,0.12791,21.513199701897218,46.58179632859415,0.7377876597463177,1.7573423760446036,100000
an Australian fund still accumulating,0.2142857142857142,0.15,domestic_070,70% domestic equity,1.0058301024879015,1.1806307048162514,0.1452,21.150494998165097,44.026920557693174,0.7183651715449871,1.7545698725797767,100000
an Australian fund still accumulating,0.2142857142857142,0.15,domestic_080,80% domestic equity,0.9779549162519351,1.137458690535286,0.16441,20.70047359797738,40.46628536509517,0.6964906250193681,1.7499864422196523,100000
an Australian fund still accumulating,0.2142857142857142,0.15,domestic_090,90% domestic equity,0.9497239550124839,1.0948330175139536,0.1863,20.088595340015473,36.026944188700526,0.6745466287064606,1.74324849981006,100000
an Australian fund still accumulating,0.2142857142857142,0.15,domestic_100,100% domestic equity,0.9214896970098643,1.0538526042054233,0.21309,19.364988112692423,31.009062919166816,0.6525842015911225,1.7337129216074247,100000
an Australian fund paying a pension,0.4285714285714286,0.15,balanced_all_equity,50/50 Domestic/International Equity,1.0934467881076164,1.3220420736309995,0.0965,23.945013883009487,63.423469034994014,0.7802363983986705,1.8786978314263447,100000
an Australian fund paying a pension,0.4285714285714286,0.15,domestic_equity,100% Domestic Equity,0.9634877220761997,1.1180344005841962,0.17838,23.425605734696227,54.85831163735405,0.6815254083809317,1.9963234467278692,100000
an Australian fund paying a pension,0.4285714285714286,0.15,international_equity,100% International Equity,1.0469930412547468,1.2543883052114682,0.12122,21.226082774301712,42.796109565028544,0.7529089180806426,1.731495329536707,100000
an Australian fund paying a pension,0.4285714285714286,0.15,sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.9227319182540451,1.040863700527813,0.1844,16.554444081570395,21.99915268250573,0.6562585415036332,1.4659691770473497,100000
