year,iso,tier,dom_eq,intl_eq,bond,bill,inflation,real_exchange_rate,available,provenance,country
1890,AUS,A,0.0139999995008111,-0.0162913842499971,,0.0430000014603138,0.0,1.0,False,JST/JKKST empirical 1900-2020; inflation 100% empirical,Australia
1915,SWE,A,0.032790803442830585,-0.1410921528941672,-0.08958670067398444,-0.09039565061745436,0.1488511488511488,1.1953101202346865,True,JST/JKKST empirical 1890-2020; inflation 100% empirical,Sweden
1915,USA,A,0.33494982624998193,0.05442622875052239,0.03455940169273042,0.02475247539506098,0.010000000000000009,0.8974549227647433,True,JST/JKKST empirical 1890-2020; inflation 100% empirical,United States
1916,AUS,A,-0.05523093901760101,0.24823482841736766,0.01585670290023633,0.012495546775830091,0.022472091907603797,0.8974074756587954,True,JST/JKKST empirical 1900-2020; inflation 100% empirical,Australia
1916,BEL,A,-0.3732803055814051,-0.1381463038024262,,,0.613627090983272,1.3577884512692278,False,JST/JKKST empirical 1890-2020; inflation 100% empirical,Belgium
1916,CHE,A,-0.07033723894851007,0.06903776655826177,-0.11428806970856298,-0.10574602944685851,0.1652170789795051,1.0949924337981658,True,JST/JKKST empirical 1900-2020; inflation 100% empirical,Switzerland
1916,DEU,A,-0.12314690784891313,0.10275852761041593,-0.20700199576916867,-0.2047178871025882,0.3155080226035665,1.0677322330785022,True,JST/JKKST empirical 1890-2020; inflation 100% empirical,Germany
1916,DNK,A,0.4325180860409368,-0.04740010236243808,-0.004135903149639186,-0.09941200675179573,0.16901403039663165,1.224866841072489,True,JST/JKKST empirical 1890-2020; inflation 100% empirical,Denmark
1916,ESP,A,-0.07551321980271442,0.06992320582438816,-0.07824346560529938,-0.11402174438376611,0.17948718849911205,1.0926957751279571,True,JST/JKKST empirical 1900-2020; inflation 100% empirical,Spain
1916,FIN,A,0.4301631822508456,-0.055059594956584856,-0.21442038915498995,-0.2157685359363961,0.32613908872901676,1.0244595738809892,True,JST/JKKST empirical 1896-2020; inflation 100% empirical,Finland
1916,FRA,A,0.0054361820220945045,0.169266901055666,-0.1387789963704089,,0.15000000000000013,0.8836945102291475,False,JST/JKKST empirical 1890-2020; inflation 100% empirical,France
1916,GBR,A,-0.17418148232959896,0.08159437933307001,-0.3251365791630888,-0.10922946564531466,0.18100000000000027,0.9920476187569349,True,JST/JKKST empirical 1890-2020; inflation 100% empirical,United Kingdom
